x,y
900.989,27959.333333333332
904.913,31170.333333333332
908.832,34394.666666666664
914.051,38878.0
917.96,42491.0
921.865,47692.333333333336
925.765,53619.666666666664
929.661,59892.0
933.553,66201.33333333333
937.44,72421.33333333333
941.322,78836.33333333333
945.2,84507.0
949.074,90158.66666666667
954.232,96846.66666666667
958.095,101552.66666666667
961.954,106078.0
965.809,110474.33333333333
969.659,113945.66666666667
973.505,117068.33333333333
977.346,119988.66666666667
981.182,122311.33333333333
985.015,123123.0
990.118,122695.33333333333
993.94,122264.0
997.757,121416.66666666667
1001.57,121008.0
1005.38,121123.0
1009.18,120778.33333333333
1012.98,120546.33333333333
1016.78,120386.33333333333
1020.57,120462.66666666667
1024.36,120700.66666666667
1029.4,120835.33333333333
1033.17,121042.66666666667
1036.95,121402.33333333333
1040.71,121653.33333333333
1044.48,122721.33333333333
1048.23,123043.66666666667
1051.99,123219.66666666667
1055.74,123714.66666666667
1059.48,123944.66666666667
1063.22,124061.0
1068.2,124742.66666666667
1071.93,124836.66666666667
1075.66,125250.0
1079.38,125354.0
1083.1,125629.0
1086.81,125718.33333333333
1090.52,125614.0
1094.22,125960.66666666667
1097.92,125669.33333333333
1102.85,125396.0
1106.54,125552.33333333333
1110.22,125249.33333333333
1113.9,125348.33333333333
1117.58,125337.66666666667
1121.25,125344.0
1124.92,125527.33333333333
1128.58,125995.33333333333
1132.24,126363.66666666667
1135.89,126667.33333333333
1140.76,127540.66666666667
1144.4,128313.33333333333
1148.04,128977.0
1151.67,129883.0
1155.3,130744.33333333333
1158.93,131649.66666666666
1162.55,132848.33333333334
1166.16,134136.66666666666
1169.78,135532.66666666666
1173.38,137093.66666666666
1178.19,139293.33333333334
1181.79,141142.33333333334
1185.38,143135.33333333334
1188.97,145021.66666666666
1192.55,147499.33333333334
1196.13,149512.0
1199.71,151694.33333333334
1203.28,153981.0
1206.84,156431.0
1211.59,159433.66666666666
1215.15,161575.66666666666
1218.7,163598.0
1222.25,166030.0
1225.79,168000.0
1229.33,170278.0
1232.86,172371.66666666666
1236.39,174410.0
1239.92,175928.0
1243.44,177916.0
1248.12,179573.33333333334
1251.63,180646.0
1255.14,182006.66666666666
1258.64,183212.33333333334
1262.14,185166.33333333334
1265.63,187279.33333333334
1269.12,188949.0
1272.6,190753.33333333334
1276.08,192621.66666666666
1279.56,193974.66666666666
1284.18,195606.33333333334
1287.65,196339.33333333334
1291.11,197455.66666666666
1294.56,198415.0
1298.01,198711.33333333334
1301.46,199481.0
1304.9,200000.66666666666
1308.34,200090.66666666666
1311.77,200635.33333333334
1316.34,200727.66666666666
1319.77,200880.66666666666
1323.19,200541.33333333334
1326.6,200555.66666666666
1330.01,200253.66666666666
1333.42,199770.33333333334
1336.82,199238.33333333334
1340.21,198871.33333333334
1343.61,198087.33333333334
1346.99,196916.0
1351.5,194974.0
1354.88,193485.66666666666
1358.25,191633.66666666666
1361.62,190415.0
1364.99,189268.0
1368.34,188861.66666666666
1371.7,188173.66666666666
1375.05,186856.33333333334
1378.4,183927.33333333334
1381.74,180810.0
1386.19,176988.0
1389.52,175412.33333333334
1392.85,173700.0
1396.17,172381.0
1399.49,171875.0
1402.8,171190.66666666666
1406.11,170918.0
1409.41,170803.66666666666
1412.72,170748.0
1417.11,170743.0
1420.4,170974.0
1423.68,171024.0
1426.97,171170.66666666666
1430.24,171453.66666666666
1433.52,171559.33333333334
1436.78,171326.33333333334
1440.05,171334.0
1443.31,171408.0
1446.56,171132.66666666666
1450.89,170585.33333333334
1454.14,170190.33333333334
1457.38,169605.0
1460.61,168771.66666666666
1463.84,167600.0
1467.07,166779.0
1470.29,165820.66666666666
1473.51,164610.33333333334
1476.72,163564.0
1479.93,162411.33333333334
1484.2,160817.33333333334
1487.4,159345.33333333334
1490.6,158050.66666666666
1493.79,156757.33333333334
1496.97,155057.66666666666
1500.15,153703.66666666666
1503.33,152201.33333333334
1506.5,150436.66666666666
1509.67,148440.0
1513.88,146237.33333333334
1517.04,144565.33333333334
1520.19,142832.66666666666
1523.34,141325.66666666666
1526.49,139324.33333333334
1529.63,137595.66666666666
1532.76,135788.0
1535.89,134256.33333333334
1539.02,132415.33333333334
1542.14,130207.33333333333
1546.29,127757.66666666667
1549.41,125209.66666666667
1552.51,123491.33333333333
1555.61,121253.66666666667
1558.71,119191.66666666667
1561.81,116764.33333333333
1564.9,114598.66666666667
1567.98,112152.66666666667
1571.06,109874.66666666667
1574.14,107799.33333333333
1578.23,104926.33333333333
1581.3,102965.0
1584.36,100534.0
1587.41,98585.33333333333
1590.47,96212.33333333333
1593.51,94125.0
1596.56,92254.0
1599.6,90240.0
1602.63,88202.66666666667
1606.67,85189.66666666667
1609.69,83157.33333333333
1612.71,81086.66666666667
1615.73,79115.66666666667
1618.74,77024.0
1621.75,74872.66666666667
1624.75,72848.0
1627.75,70875.0
1630.74,68845.0
1633.73,66575.0
1637.71,64245.0
1640.68,62145.666666666664
1643.66,60310.0
1646.63,58292.333333333336
1649.59,56068.0
1652.55,54062.333333333336
1655.51,51775.666666666664
1658.46,49808.666666666664
1661.41,46998.0
1664.35,44349.333333333336
1668.27,40091.333333333336
1671.2,36553.333333333336
1674.13,32549.333333333332
1677.05,28512.333333333332
1679.97,24710.333333333332
1682.89,21020.333333333332
1685.8,18058.666666666668
1688.7,15239.666666666666
1691.61,12833.0
1694.5,11150.0
1698.36,8855.333333333334
1701.25,8046.333333333333
