x,y
900.989,21123
904.913,23596
908.832,25554
914.051,28498
917.96,31049
921.865,34965
925.765,38785
929.661,43207
933.553,47999
937.44,52204
941.322,56353
945.2,60499
949.074,64221
954.232,69046
958.095,72545
961.954,75499
965.809,78557
969.659,80626
973.505,83343
977.346,84807
981.182,86804
985.015,87358
990.118,86424
993.94,86285
997.757,85567
1001.57,85462
1005.38,84937
1009.18,85058
1012.98,84787
1016.78,84499
1020.57,84754
1024.36,85648
1029.4,85492
1033.17,85477
1036.95,86372
1040.71,86446
1044.48,87356
1048.23,87886
1051.99,87913
1055.74,88514
1059.48,88809
1063.22,89329
1068.2,89887
1071.93,90601
1075.66,90863
1079.38,91357
1083.1,92334
1086.81,92247
1090.52,92541
1094.22,92970
1097.92,93659
1102.85,93917
1106.54,93583
1110.22,93717
1113.9,94291
1117.58,94471
1121.25,94786
1124.92,94423
1128.58,94731
1132.24,94375
1135.89,94534
1140.76,94545
1144.4,94718
1148.04,93870
1151.67,94132
1155.3,94478
1158.93,94374
1162.55,94602
1166.16,94564
1169.78,94926
1173.38,95079
1178.19,95906
1181.79,96497
1185.38,97168
1188.97,98116
1192.55,99771
1196.13,100542
1199.71,101972
1203.28,103474
1206.84,104966
1211.59,107712
1215.15,109117
1218.7,111265
1222.25,112838
1225.79,115549
1229.33,117594
1232.86,119125
1236.39,121041
1239.92,122792
1243.44,124792
1248.12,126173
1251.63,127012
1255.14,128028
1258.64,129256
1262.14,130815
1265.63,131848
1269.12,133213
1272.6,134702
1276.08,136024
1279.56,137606
1284.18,138313
1287.65,139243
1291.11,139927
1294.56,140813
1298.01,141075
1301.46,140845
1304.9,141704
1308.34,141634
1311.77,141483
1316.34,141142
1319.77,140937
1323.19,140155
1326.6,139315
1330.01,138659
1333.42,138106
1336.82,136956
1340.21,135391
1343.61,133916
1346.99,132572
1351.5,129644
1354.88,127743
1358.25,125914
1361.62,124633
1364.99,122951
1368.34,121829
1371.7,120274
1375.05,119227
1378.4,116185
1381.74,113501
1386.19,110321
1389.52,107512
1392.85,105119
1396.17,103108
1399.49,100768
1402.8,98841
1406.11,96723
1409.41,94657
1412.72,91920
1417.11,89341
1420.4,87676
1423.68,85422
1426.97,84473
1430.24,82713
1433.52,81880
1436.78,80737
1440.05,80216
1443.31,79148
1446.56,78637
1450.89,77864
1454.14,77470
1457.38,77017
1460.61,75981
1463.84,75561
1467.07,75143
1470.29,74946
1473.51,74607
1476.72,73779
1479.93,73656
1484.2,72971
1487.4,72655
1490.6,72335
1493.79,71541
1496.97,71573
1500.15,70920
1503.33,70215
1506.5,69720
1509.67,69221
1513.88,68777
1517.04,67757
1520.19,67669
1523.34,66892
1526.49,66370
1529.63,65514
1532.76,64945
1535.89,64032
1539.02,63620
1542.14,62853
1546.29,61163
1549.41,60787
1552.51,59939
1555.61,58991
1558.71,58472
1561.81,56828
1564.9,55879
1567.98,54548
1571.06,53570
1574.14,53071
1578.23,51934
1581.3,50936
1584.36,49944
1587.41,48930
1590.47,47881
1593.51,47344
1596.56,46059
1599.6,45803
1602.63,44354
1606.67,43251
1609.69,42378
1612.71,41923
1615.73,40983
1618.74,39966
1621.75,38791
1624.75,37970
1627.75,37425
1630.74,36484
1633.73,35217
1637.71,34267
1640.68,32818
1643.66,31804
1646.63,31183
1649.59,30345
1652.55,29143
1655.51,28007
1658.46,26769
1661.41,25515
1664.35,24291
1668.27,21957
1671.2,20029
1674.13,17896
1677.05,15754
1679.97,12922
1682.89,11019
1685.8,9915
1688.7,7676
1691.61,7016
1694.5,5705
1698.36,4999
1701.25,4284
