x,y
340,0
341.771,70
343.542,24
345.312,52
347.083,66
348.854,0
350.625,47
352.396,30
354.167,0
355.938,24
357.708,21
359.479,0
361.25,150
363.021,25
364.792,0
366.562,89
368.333,6
370.104,139
371.875,69
373.646,60
375.417,0
377.188,16
378.958,74
380.729,76
382.5,156
384.271,95
386.042,135
387.812,361
389.583,344
391.354,294
393.125,191
394.896,106
396.667,162
398.438,193
400.208,437
401.979,1129
403.75,2168
405.521,3170
407.292,4102
409.062,4836
410.833,5482
412.604,6108
414.375,6790
416.146,7441
417.917,7790
419.688,8408
421.458,8970
423.229,9467
425,10124
426.771,10795
428.542,11718
430.312,12090
432.083,12914
433.854,13489
435.625,13986
437.396,14246
439.167,14917
440.938,15482
442.708,15835
444.479,15988
446.25,16500
448.021,16826
449.792,16713
451.562,16799
453.333,17618
455.104,17832
456.875,17591
458.646,17703
460.417,17407
462.188,16932
463.958,16281
465.729,15390
467.5,14794
469.271,13817
471.042,12940
472.812,12211
474.583,11673
476.354,11144
478.125,10557
479.896,10569
481.667,9979
483.438,9502
485.208,9429
486.979,9433
488.75,9437
490.521,9413
492.292,9659
494.062,9414
495.833,9935
497.604,9493
499.375,9231
501.146,9263
502.917,8728
504.688,8621
506.458,8094
508.229,7953
510,7268
511.771,7231
513.542,7042
515.312,6716
517.083,6461
518.854,6019
520.625,5776
522.396,5506
524.167,5091
525.938,5033
527.708,4633
529.479,4566
531.25,4380
533.021,4355
534.792,4119
536.562,3863
538.333,3870
540.104,3915
541.875,3450
543.646,3491
545.417,3187
547.188,3230
548.958,3065
550.729,2950
552.5,2787
554.271,2640
556.042,2535
557.812,2481
559.583,2495
561.354,2194
563.125,2282
564.896,2224
566.667,2047
568.438,1949
570.208,1942
571.979,1949
573.75,1985
575.521,1843
577.292,1725
579.062,1622
580.833,1662
582.604,1582
584.375,1476
586.146,1456
587.917,1362
589.688,1271
591.458,1445
593.229,1183
595,1200
596.771,1174
598.542,998
600.312,1044
602.083,949
603.854,968
605.625,927
607.396,836
609.167,784
610.938,799
612.708,722
614.479,741
616.25,725
618.021,658
619.792,721
621.562,586
623.333,564
625.104,595
626.875,651
628.646,584
630.417,522
632.188,466
633.958,401
635.729,393
637.5,328
639.271,334
641.042,363
642.812,373
644.583,422
646.354,338
648.125,307
649.896,275
651.667,289
653.438,273
655.208,181
656.979,214
658.75,239
660.521,183
662.292,176
664.062,200
665.833,265
667.604,102
669.375,246
671.146,66
672.917,245
674.688,154
676.458,162
678.229,91
680,191
681.771,36
683.542,12
685.312,80
687.083,208
688.854,106
690.625,125
692.396,175
694.167,59
695.938,68
697.708,74
699.479,66
701.25,106
703.021,26
704.792,67
706.562,237
708.333,93
710.104,204
711.875,57
713.646,78
715.417,110
717.188,81
718.958,16
720.729,82
722.5,0
724.271,0
726.042,65
727.812,111
729.583,183
731.354,0
733.125,45
734.896,0
736.667,164
738.438,27
740.208,6
741.979,5
743.75,28
745.521,0
747.292,0
749.062,0
750.833,0
752.604,12
754.375,67
756.146,77
757.917,0
759.688,75
761.458,112
763.229,0
765,0
766.771,121
768.542,5
770.312,85
772.083,81
773.854,28
775.625,0
777.396,15
779.167,0
780.938,57
782.708,0
784.479,73
786.25,28
788.021,0
789.792,72
791.562,0
793.333,0
795.104,29
796.875,0
798.646,0
800.417,74
802.188,0
803.958,0
805.729,0
807.5,0
809.271,0
811.042,115
812.812,0
814.583,0
816.354,0
818.125,0
819.896,81
821.667,6
823.438,41
825.208,52
826.979,3
828.75,0
830.521,0
832.292,0
834.062,39
835.833,0
837.604,86
839.375,49
841.146,0
842.917,0
844.688,39
846.458,15
848.229,129
