x,y
340,0
341.771,46
343.542,11
345.312,250
347.083,238
348.854,118
350.625,297
352.396,185
354.167,205
355.938,180
357.708,109
359.479,261
361.25,117
363.021,146
364.792,152
366.562,144
368.333,266
370.104,202
371.875,157
373.646,230
375.417,293
377.188,256
378.958,153
380.729,72
382.5,157
384.271,211
386.042,132
387.812,139
389.583,157
391.354,177
393.125,208
394.896,221
396.667,165
398.438,40
400.208,192
401.979,244
403.75,122
405.521,158
407.292,108
409.062,125
410.833,218
412.604,226
414.375,203
416.146,212
417.917,212
419.688,296
421.458,472
423.229,455
425,542
426.771,877
428.542,1142
430.312,1637
432.083,2233
433.854,3560
435.625,4918
437.396,7095
439.167,10573
440.938,14394
442.708,18186
444.479,20284
446.25,20926
448.021,19164
449.792,17008
451.562,15252
453.333,14692
455.104,13827
456.875,12835
458.646,11459
460.417,10609
462.188,10318
463.958,9601
465.729,9524
467.5,9764
469.271,9921
471.042,10162
472.812,10491
474.583,10843
476.354,11724
478.125,12191
479.896,13036
481.667,13741
483.438,14422
485.208,15426
486.979,16349
488.75,17650
490.521,18801
492.292,20374
494.062,21739
495.833,23337
497.604,24355
499.375,26046
501.146,26693
502.917,26912
504.688,28557
506.458,29157
508.229,29559
510,30353
511.771,30878
513.542,31573
515.312,31588
517.083,32171
518.854,32277
520.625,32782
522.396,33438
524.167,33808
525.938,33924
527.708,34201
529.479,34990
531.25,35336
533.021,35643
534.792,35910
536.562,36942
538.333,37001
540.104,37850
541.875,38134
543.646,38196
545.417,38676
547.188,38908
548.958,39174
550.729,39621
552.5,39798
554.271,39617
556.042,39710
557.812,39595
559.583,39604
561.354,38831
563.125,39329
564.896,39022
566.667,38446
568.438,37971
570.208,37509
571.979,36724
573.75,35903
575.521,35363
577.292,34146
579.062,33694
580.833,32868
582.604,31785
584.375,30971
586.146,29721
587.917,29073
589.688,27869
591.458,26999
593.229,26156
595,25034
596.771,24231
598.542,23132
600.312,22068
602.083,21568
603.854,20143
605.625,19687
607.396,18756
609.167,18130
610.938,16976
612.708,16002
614.479,15330
616.25,15016
618.021,13975
619.792,13192
621.562,12708
623.333,11949
625.104,11330
626.875,10871
628.646,10611
630.417,10031
632.188,9445
633.958,8943
635.729,8310
637.5,7977
639.271,7559
641.042,7180
642.812,6890
644.583,6434
646.354,6017
648.125,5893
649.896,5690
651.667,5256
653.438,5027
655.208,4459
656.979,4242
658.75,4096
660.521,4052
662.292,3598
664.062,3432
665.833,3299
667.604,3027
669.375,2924
671.146,2773
672.917,2645
674.688,2575
676.458,2387
678.229,2337
680,2095
681.771,1912
683.542,1786
685.312,1798
687.083,1599
688.854,1481
690.625,1425
692.396,1440
694.167,1429
695.938,1343
697.708,1073
699.479,1167
701.25,1142
703.021,1013
704.792,1020
706.562,930
708.333,882
710.104,845
711.875,804
713.646,664
715.417,608
717.188,741
718.958,704
720.729,518
722.5,654
724.271,535
726.042,610
727.812,577
729.583,369
731.354,508
733.125,507
734.896,424
736.667,334
738.438,225
740.208,343
741.979,391
743.75,359
745.521,373
747.292,280
749.062,433
750.833,308
752.604,323
754.375,181
756.146,306
757.917,266
759.688,325
761.458,230
763.229,214
765,286
766.771,244
768.542,356
770.312,176
772.083,149
773.854,279
775.625,220
777.396,167
779.167,174
780.938,223
782.708,261
784.479,306
786.25,186
788.021,301
789.792,244
791.562,261
793.333,296
795.104,246
796.875,208
798.646,200
800.417,228
802.188,171
803.958,321
805.729,252
807.5,195
809.271,254
811.042,104
812.812,109
814.583,221
816.354,172
818.125,257
819.896,137
821.667,137
823.438,175
825.208,143
826.979,190
828.75,116
830.521,101
832.292,135
834.062,107
835.833,180
837.604,197
839.375,156
841.146,99
842.917,106
844.688,155
846.458,146
848.229,199
