x,y
900.989,24726
904.913,27843
908.832,29767
914.051,33917
917.96,37379
921.865,41576
925.765,46099
929.661,51995
933.553,56702
937.44,62113
941.322,66862
945.2,72116
949.074,75788
954.232,81632
958.095,85133
961.954,89101
965.809,92129
969.659,94378
973.505,96436
977.346,98833
981.182,99768
985.015,100155
990.118,99049
993.94,98518
997.757,97452
1001.57,97532
1005.38,96798
1009.18,96027
1012.98,95910
1016.78,95759
1020.57,95806
1024.36,95557
1029.4,95609
1033.17,96017
1036.95,96551
1040.71,97141
1044.48,97268
1048.23,97817
1051.99,98071
1055.74,98742
1059.48,99040
1063.22,99014
1068.2,99733
1071.93,100599
1075.66,100440
1079.38,101395
1083.1,101346
1086.81,101917
1090.52,102204
1094.22,102494
1097.92,102811
1102.85,102818
1106.54,103111
1110.22,103372
1113.9,103753
1117.58,104093
1121.25,104319
1124.92,104168
1128.58,104950
1132.24,104882
1135.89,104852
1140.76,104683
1144.4,104978
1148.04,105415
1151.67,105620
1155.3,105920
1158.93,106248
1162.55,106120
1166.16,106650
1169.78,107466
1173.38,107558
1178.19,108529
1181.79,108963
1185.38,109768
1188.97,111121
1192.55,112893
1196.13,113827
1199.71,115871
1203.28,117664
1206.84,119754
1211.59,121919
1215.15,123531
1218.7,125711
1222.25,127217
1225.79,129055
1229.33,131243
1232.86,132577
1236.39,134622
1239.92,136119
1243.44,137636
1248.12,140358
1251.63,141083
1255.14,141314
1258.64,143103
1262.14,144768
1265.63,146253
1269.12,147599
1272.6,149095
1276.08,150067
1279.56,151518
1284.18,152914
1287.65,153607
1291.11,154783
1294.56,155506
1298.01,156325
1301.46,156493
1304.9,156964
1308.34,156879
1311.77,157443
1316.34,157127
1319.77,156884
1323.19,156246
1326.6,155875
1330.01,155091
1333.42,153955
1336.82,153453
1340.21,151944
1343.61,150223
1346.99,148640
1351.5,145713
1354.88,143117
1358.25,141024
1361.62,138801
1364.99,137647
1368.34,136104
1371.7,134589
1375.05,133140
1378.4,130558
1381.74,127600
1386.19,124675
1389.52,122471
1392.85,120203
1396.17,118696
1399.49,116969
1402.8,115472
1406.11,112961
1409.41,111516
1412.72,109048
1417.11,105509
1420.4,103194
1423.68,101032
1426.97,98914
1430.24,96800
1433.52,95227
1436.78,93632
1440.05,92594
1443.31,91376
1446.56,89448
1450.89,88320
1454.14,87865
1457.38,86731
1460.61,85875
1463.84,85306
1467.07,84453
1470.29,83633
1473.51,82805
1476.72,82429
1479.93,81577
1484.2,80265
1487.4,79472
1490.6,78538
1493.79,77689
1496.97,77184
1500.15,76002
1503.33,76096
1506.5,75357
1509.67,74677
1513.88,73354
1517.04,72790
1520.19,72238
1523.34,71767
1526.49,71182
1529.63,70112
1532.76,70501
1535.89,69356
1539.02,68583
1542.14,67607
1546.29,66753
1549.41,65490
1552.51,64860
1555.61,64138
1558.71,62323
1561.81,61250
1564.9,60016
1567.98,58944
1571.06,57623
1574.14,56291
1578.23,55413
1581.3,54357
1584.36,53035
1587.41,52338
1590.47,51259
1593.51,50601
1596.56,49670
1599.6,48312
1602.63,47360
1606.67,46272
1609.69,45375
1612.71,44300
1615.73,43782
1618.74,41986
1621.75,41376
1624.75,40328
1627.75,39526
1630.74,38309
1633.73,37518
1637.71,36441
1640.68,35507
1643.66,33860
1646.63,32713
1649.59,31852
1652.55,30656
1655.51,29447
1658.46,28110
1661.41,26707
1664.35,25238
1668.27,22739
1671.2,20792
1674.13,18113
1677.05,16186
1679.97,13485
1682.89,11334
1685.8,9628
1688.7,8097
1691.61,7014
1694.5,6374
1698.36,4651
1701.25,3832
