x,y
340,0
341.771,80
343.542,0
345.312,244
347.083,206
348.854,213
350.625,175
352.396,169
354.167,266
355.938,269
357.708,209
359.479,263
361.25,169
363.021,313
364.792,243
366.562,197
368.333,265
370.104,336
371.875,185
373.646,207
375.417,181
377.188,193
378.958,197
380.729,173
382.5,221
384.271,398
386.042,482
387.812,638
389.583,546
391.354,582
393.125,486
394.896,521
396.667,584
398.438,908
400.208,2903
401.979,6219
403.75,10550
405.521,15122
407.292,18678
409.062,22222
410.833,24290
412.604,26417
414.375,28179
416.146,29668
417.917,30417
419.688,30434
421.458,30539
423.229,31205
425,31379
426.771,31058
428.542,31312
430.312,31618
432.083,31539
433.854,31903
435.625,32190
437.396,31906
439.167,32602
440.938,32610
442.708,32619
444.479,32889
446.25,33082
448.021,33442
449.792,34091
451.562,33591
453.333,34216
455.104,34282
456.875,34001
458.646,33878
460.417,33968
462.188,34375
463.958,34280
465.729,34462
467.5,35377
469.271,36140
471.042,37417
472.812,38572
474.583,40455
476.354,41538
478.125,42665
479.896,44673
481.667,44924
483.438,45061
485.208,45907
486.979,47225
488.75,47974
490.521,48743
492.292,50103
494.062,50597
495.833,51283
497.604,51017
499.375,51190
501.146,50156
502.917,49114
504.688,47865
506.458,46511
508.229,45220
510,44975
511.771,43138
513.542,41194
515.312,40291
517.083,38725
518.854,36543
520.625,35352
522.396,33955
524.167,31702
525.938,29695
527.708,28633
529.479,27469
531.25,25915
533.021,25033
534.792,24119
536.562,23155
538.333,21810
540.104,20535
541.875,19962
543.646,19012
545.417,17468
547.188,16757
548.958,15930
550.729,14912
552.5,14236
554.271,13642
556.042,13083
557.812,12642
559.583,12250
561.354,11739
563.125,11279
564.896,11237
566.667,10691
568.438,9923
570.208,9705
571.979,9294
573.75,8764
575.521,8452
577.292,7934
579.062,7483
580.833,7047
582.604,6828
584.375,6473
586.146,5989
587.917,5855
589.688,5314
591.458,5194
593.229,4978
595,4490
596.771,4329
598.542,4033
600.312,3860
602.083,3758
603.854,3400
605.625,3406
607.396,3368
609.167,3252
610.938,2994
612.708,3178
614.479,2945
616.25,2878
618.021,2714
619.792,2535
621.562,2573
623.333,2341
625.104,2293
626.875,2218
628.646,2079
630.417,1711
632.188,1797
633.958,1658
635.729,1606
637.5,1413
639.271,1346
641.042,1280
642.812,1168
644.583,1179
646.354,1205
648.125,1065
649.896,964
651.667,1019
653.438,1041
655.208,834
656.979,827
658.75,833
660.521,762
662.292,707
664.062,772
665.833,656
667.604,643
669.375,605
671.146,586
672.917,531
674.688,611
676.458,518
678.229,643
680,468
681.771,286
683.542,467
685.312,424
687.083,420
688.854,487
690.625,377
692.396,382
694.167,304
695.938,315
697.708,244
699.479,333
701.25,301
703.021,296
704.792,353
706.562,259
708.333,304
710.104,313
711.875,166
713.646,267
715.417,217
717.188,134
718.958,162
720.729,180
722.5,312
724.271,221
726.042,233
727.812,213
729.583,188
731.354,192
733.125,168
734.896,200
736.667,288
738.438,96
740.208,230
741.979,227
743.75,136
745.521,92
747.292,224
749.062,186
750.833,102
752.604,126
754.375,268
756.146,197
757.917,189
759.688,93
761.458,153
763.229,238
765,75
766.771,140
768.542,152
770.312,169
772.083,217
773.854,159
775.625,212
777.396,191
779.167,17
780.938,151
782.708,180
784.479,160
786.25,169
788.021,195
789.792,79
791.562,67
793.333,79
795.104,259
796.875,142
798.646,205
800.417,132
802.188,209
803.958,116
805.729,182
807.5,148
809.271,172
811.042,142
812.812,190
814.583,139
816.354,118
818.125,163
819.896,111
821.667,157
823.438,146
825.208,169
826.979,227
828.75,181
830.521,105
832.292,168
834.062,152
835.833,159
837.604,87
839.375,221
841.146,179
842.917,104
844.688,160
846.458,112
848.229,138
