x,y
340,0
341.771,40
343.542,0
345.312,187
347.083,168
348.854,77
350.625,233
352.396,146
354.167,84
355.938,98
357.708,177
359.479,220
361.25,138
363.021,125
364.792,201
366.562,232
368.333,257
370.104,201
371.875,53
373.646,195
375.417,233
377.188,190
378.958,194
380.729,108
382.5,111
384.271,242
386.042,174
387.812,46
389.583,171
391.354,281
393.125,290
394.896,42
396.667,217
398.438,135
400.208,194
401.979,231
403.75,84
405.521,190
407.292,66
409.062,123
410.833,108
412.604,173
414.375,280
416.146,70
417.917,317
419.688,388
421.458,366
423.229,560
425,885
426.771,1098
428.542,1675
430.312,2320
432.083,3198
433.854,5015
435.625,7172
437.396,10482
439.167,15167
440.938,21321
442.708,27270
444.479,30723
446.25,31535
448.021,28957
449.792,25522
451.562,23275
453.333,21674
455.104,20560
456.875,19117
458.646,17062
460.417,15460
462.188,14576
463.958,14257
465.729,14358
467.5,14604
469.271,15153
471.042,15170
472.812,15838
474.583,16960
476.354,17869
478.125,18455
479.896,19850
481.667,20430
483.438,20793
485.208,21727
486.979,22955
488.75,24423
490.521,25691
492.292,27279
494.062,28484
495.833,29470
497.604,31325
499.375,32287
501.146,33076
502.917,33381
504.688,34730
506.458,34466
508.229,35853
510,36659
511.771,37083
513.542,37206
515.312,37732
517.083,38169
518.854,38091
520.625,38595
522.396,38930
524.167,39206
525.938,39263
527.708,39407
529.479,40530
531.25,40486
533.021,41098
534.792,41302
536.562,41724
538.333,41936
540.104,42545
541.875,43124
543.646,43370
545.417,43306
547.188,43556
548.958,43683
550.729,43646
552.5,43832
554.271,43363
556.042,43482
557.812,44241
559.583,43791
561.354,42892
563.125,42937
564.896,42437
566.667,42609
568.438,41175
570.208,40949
571.979,40014
573.75,39248
575.521,38781
577.292,37723
579.062,36642
580.833,35858
582.604,35183
584.375,33626
586.146,32492
587.917,31469
589.688,30423
591.458,29406
593.229,28189
595,27077
596.771,26088
598.542,24843
600.312,23780
602.083,22601
603.854,21724
605.625,21029
607.396,19585
609.167,18755
610.938,17926
612.708,16930
614.479,16033
616.25,15476
618.021,14739
619.792,13895
621.562,13325
623.333,12578
625.104,11761
626.875,11144
628.646,10694
630.417,10388
632.188,9749
633.958,9172
635.729,8695
637.5,8353
639.271,7666
641.042,7431
642.812,7055
644.583,6523
646.354,6145
648.125,5848
649.896,5645
651.667,5366
653.438,5048
655.208,4847
656.979,4412
658.75,4270
660.521,4079
662.292,3755
664.062,3373
665.833,3397
667.604,3194
669.375,3082
671.146,2886
672.917,2635
674.688,2591
676.458,2388
678.229,2124
680,2192
681.771,2064
683.542,1863
685.312,1710
687.083,1711
688.854,1571
690.625,1417
692.396,1460
694.167,1321
695.938,1304
697.708,1175
699.479,1183
701.25,1105
703.021,1160
704.792,973
706.562,1029
708.333,947
710.104,712
711.875,822
713.646,870
715.417,653
717.188,678
718.958,648
720.729,595
722.5,507
724.271,571
726.042,427
727.812,485
729.583,474
731.354,431
733.125,574
734.896,387
736.667,382
738.438,276
740.208,304
741.979,331
743.75,250
745.521,362
747.292,296
749.062,245
750.833,253
752.604,231
754.375,186
756.146,383
757.917,327
759.688,172
761.458,248
763.229,359
765,144
766.771,177
768.542,236
770.312,169
772.083,232
773.854,260
775.625,201
777.396,226
779.167,154
780.938,233
782.708,207
784.479,270
786.25,176
788.021,189
789.792,219
791.562,174
793.333,402
795.104,208
796.875,200
798.646,178
800.417,207
802.188,129
803.958,329
805.729,100
807.5,145
809.271,124
811.042,90
812.812,209
814.583,201
816.354,164
818.125,97
819.896,172
821.667,104
823.438,57
825.208,161
826.979,151
828.75,101
830.521,147
832.292,135
834.062,47
835.833,30
837.604,131
839.375,58
841.146,128
842.917,137
844.688,9
846.458,166
848.229,232
