x,y
340,0
341.771,48
343.542,11
345.312,88
347.083,32
348.854,149
350.625,119
352.396,155
354.167,172
355.938,135
357.708,102
359.479,122
361.25,18
363.021,8
364.792,194
366.562,223
368.333,4
370.104,85
371.875,78
373.646,170
375.417,86
377.188,128
378.958,111
380.729,50
382.5,147
384.271,115
386.042,250
387.812,307
389.583,354
391.354,334
393.125,340
394.896,236
396.667,178
398.438,410
400.208,1296
401.979,2799
403.75,4899
405.521,7227
407.292,8843
409.062,10406
410.833,11595
412.604,12586
414.375,13642
416.146,14362
417.917,15173
419.688,15803
421.458,16347
423.229,16903
425,17277
426.771,17516
428.542,18352
430.312,18569
432.083,19107
433.854,19722
435.625,20208
437.396,20642
439.167,20979
440.938,21207
442.708,21465
444.479,21639
446.25,21923
448.021,21974
449.792,22145
451.562,22496
453.333,22520
455.104,22666
456.875,22611
458.646,22436
460.417,22273
462.188,21806
463.958,21044
465.729,20402
467.5,19883
469.271,19452
471.042,18957
472.812,18633
474.583,18571
476.354,18190
478.125,17992
479.896,18447
481.667,18047
483.438,17727
485.208,17599
486.979,18152
488.75,18333
490.521,18819
492.292,19279
494.062,19242
495.833,19708
497.604,19960
499.375,19757
501.146,19258
502.917,18833
504.688,18603
506.458,17719
508.229,17380
510,16680
511.771,16185
513.542,15587
515.312,15204
517.083,14586
518.854,13839
520.625,13212
522.396,12743
524.167,12024
525.938,11402
527.708,10690
529.479,10492
531.25,9844
533.021,9567
534.792,9046
536.562,8798
538.333,8608
540.104,8158
541.875,7704
543.646,7370
545.417,6828
547.188,6759
548.958,6492
550.729,6003
552.5,5878
554.271,5494
556.042,5184
557.812,5158
559.583,4942
561.354,4959
563.125,4754
564.896,4657
566.667,4370
568.438,4319
570.208,4100
571.979,3928
573.75,3662
575.521,3547
577.292,3490
579.062,3358
580.833,3105
582.604,2988
584.375,2873
586.146,2618
587.917,2461
589.688,2376
591.458,2444
593.229,2213
595,2199
596.771,2009
598.542,1807
600.312,1778
602.083,1671
603.854,1646
605.625,1580
607.396,1554
609.167,1428
610.938,1418
612.708,1376
614.479,1313
616.25,1272
618.021,1205
619.792,1253
621.562,1218
623.333,1025
625.104,1126
626.875,988
628.646,883
630.417,1008
632.188,855
633.958,804
635.729,839
637.5,668
639.271,596
641.042,710
642.812,605
644.583,609
646.354,597
648.125,466
649.896,559
651.667,523
653.438,448
655.208,475
656.979,431
658.75,356
660.521,345
662.292,477
664.062,326
665.833,353
667.604,270
669.375,341
671.146,256
672.917,286
674.688,289
676.458,309
678.229,198
680,292
681.771,328
683.542,205
685.312,251
687.083,337
688.854,248
690.625,241
692.396,96
694.167,156
695.938,195
697.708,153
699.479,168
701.25,296
703.021,170
704.792,179
706.562,219
708.333,70
710.104,99
711.875,195
713.646,174
715.417,133
717.188,207
718.958,153
720.729,84
722.5,109
724.271,134
726.042,132
727.812,151
729.583,0
731.354,14
733.125,56
734.896,72
736.667,101
738.438,182
740.208,92
741.979,96
743.75,117
745.521,8
747.292,115
749.062,70
750.833,0
752.604,72
754.375,112
756.146,0
757.917,22
759.688,163
761.458,38
763.229,40
765,9
766.771,103
768.542,31
770.312,123
772.083,57
773.854,7
775.625,60
777.396,92
779.167,87
780.938,62
782.708,42
784.479,94
786.25,55
788.021,0
789.792,150
791.562,89
793.333,89
795.104,96
796.875,28
798.646,75
800.417,53
802.188,25
803.958,0
805.729,0
807.5,53
809.271,148
811.042,3
812.812,10
814.583,0
816.354,9
818.125,87
819.896,110
821.667,60
823.438,90
825.208,40
826.979,75
828.75,0
830.521,0
832.292,145
834.062,0
835.833,137
837.604,159
839.375,0
841.146,98
842.917,125
844.688,41
846.458,67
848.229,6
