x,y
900.989,20242
904.913,22184
908.832,23750
914.051,26678
917.96,29340
921.865,32592
925.765,35966
929.661,39728
933.553,43397
937.44,47212
941.322,50137
945.2,53310
949.074,56494
954.232,58892
958.095,61673
961.954,63531
965.809,65769
969.659,66815
973.505,67763
977.346,69627
981.182,69990
985.015,70156
990.118,67951
993.94,67414
997.757,66140
1001.57,65590
1005.38,65116
1009.18,64394
1012.98,63345
1016.78,63829
1020.57,63895
1024.36,63741
1029.4,63701
1033.17,64036
1036.95,64136
1040.71,64562
1044.48,65368
1048.23,65560
1051.99,65719
1055.74,66383
1059.48,66826
1063.22,67375
1068.2,68287
1071.93,68832
1075.66,69408
1079.38,70390
1083.1,70758
1086.81,72060
1090.52,72538
1094.22,73394
1097.92,73998
1102.85,74806
1106.54,75030
1110.22,75711
1113.9,76067
1117.58,76608
1121.25,76830
1124.92,77825
1128.58,77971
1132.24,78155
1135.89,78853
1140.76,79458
1144.4,79574
1148.04,80250
1151.67,80308
1155.3,80517
1158.93,81186
1162.55,81281
1166.16,81551
1169.78,82316
1173.38,82502
1178.19,83105
1181.79,83780
1185.38,84266
1188.97,85227
1192.55,86549
1196.13,87799
1199.71,88982
1203.28,90001
1206.84,91464
1211.59,92413
1215.15,94165
1218.7,94738
1222.25,96738
1225.79,98353
1229.33,98996
1232.86,100034
1236.39,101339
1239.92,102464
1243.44,103129
1248.12,104068
1251.63,104364
1255.14,104840
1258.64,105339
1262.14,106137
1265.63,107371
1269.12,108452
1272.6,109075
1276.08,109979
1279.56,110199
1284.18,111417
1287.65,111929
1291.11,112639
1294.56,113278
1298.01,113211
1301.46,113413
1304.9,113534
1308.34,113349
1311.77,113727
1316.34,113084
1319.77,112789
1323.19,112426
1326.6,112397
1330.01,111439
1333.42,111273
1336.82,110405
1340.21,109239
1343.61,108049
1346.99,106908
1351.5,104777
1354.88,103178
1358.25,101405
1361.62,100022
1364.99,98810
1368.34,98423
1371.7,97186
1375.05,96196
1378.4,93893
1381.74,91934
1386.19,89509
1389.52,87897
1392.85,86488
1396.17,84524
1399.49,83372
1402.8,81961
1406.11,80902
1409.41,79322
1412.72,77971
1417.11,75898
1420.4,74045
1423.68,72827
1426.97,71715
1430.24,70299
1433.52,69488
1436.78,68012
1440.05,67088
1443.31,66582
1446.56,66249
1450.89,65502
1454.14,64640
1457.38,64259
1460.61,64009
1463.84,62983
1467.07,62812
1470.29,62001
1473.51,61468
1476.72,61301
1479.93,60922
1484.2,59685
1487.4,58942
1490.6,58352
1493.79,58307
1496.97,57694
1500.15,57198
1503.33,56833
1506.5,56136
1509.67,55485
1513.88,55023
1517.04,54390
1520.19,54283
1523.34,53425
1526.49,52885
1529.63,52330
1532.76,51671
1535.89,51653
1539.02,50721
1542.14,50256
1546.29,49124
1549.41,48220
1552.51,47633
1555.61,46759
1558.71,45815
1561.81,45045
1564.9,43910
1567.98,43236
1571.06,42040
1574.14,41240
1578.23,39982
1581.3,39560
1584.36,38374
1587.41,37631
1590.47,36738
1593.51,36072
1596.56,35183
1599.6,34228
1602.63,33822
1606.67,32381
1609.69,32168
1612.71,31413
1615.73,30404
1618.74,29711
1621.75,29468
1624.75,27912
1627.75,27364
1630.74,26377
1633.73,25600
1637.71,24637
1640.68,23876
1643.66,22836
1646.63,22212
1649.59,21341
1652.55,20260
1655.51,19799
1658.46,18617
1661.41,17916
1664.35,16966
1668.27,14783
1671.2,13341
1674.13,12016
1677.05,10312
1679.97,8263
1682.89,6927
1685.8,5973
1688.7,5254
1691.61,4139
1694.5,3732
1698.36,2668
1701.25,2238
