x,y
340,0
341.771,18
343.542,0
345.312,216
347.083,326
348.854,363
350.625,229
352.396,276
354.167,227
355.938,279
357.708,314
359.479,354
361.25,399
363.021,252
364.792,283
366.562,340
368.333,238
370.104,318
371.875,293
373.646,232
375.417,270
377.188,190
378.958,197
380.729,210
382.5,240
384.271,227
386.042,218
387.812,327
389.583,58
391.354,251
393.125,358
394.896,368
396.667,348
398.438,234
400.208,251
401.979,276
403.75,364
405.521,260
407.292,265
409.062,256
410.833,317
412.604,324
414.375,281
416.146,302
417.917,418
419.688,413
421.458,491
423.229,774
425,911
426.771,1197
428.542,1801
430.312,2278
432.083,3434
433.854,4870
435.625,7059
437.396,10286
439.167,14745
440.938,20893
442.708,25845
444.479,28818
446.25,29168
448.021,26852
449.792,23860
451.562,21751
453.333,20511
455.104,19217
456.875,17661
458.646,15821
460.417,14329
462.188,13757
463.958,13359
465.729,13401
467.5,13524
469.271,13896
471.042,14369
472.812,14646
474.583,15233
476.354,16027
478.125,16924
479.896,17859
481.667,18234
483.438,19023
485.208,19881
486.979,21139
488.75,22280
490.521,23505
492.292,25083
494.062,26401
495.833,28109
497.604,29221
499.375,30397
501.146,31074
502.917,31863
504.688,32725
506.458,33068
508.229,34362
510,35040
511.771,35298
513.542,35616
515.312,36172
517.083,37010
518.854,36796
520.625,36863
522.396,37985
524.167,37899
525.938,38092
527.708,38257
529.479,39028
531.25,39313
533.021,39677
534.792,40005
536.562,40638
538.333,40857
540.104,41441
541.875,41921
543.646,42585
545.417,42409
547.188,43045
548.958,43028
550.729,42286
552.5,43181
554.271,43388
556.042,42657
557.812,43116
559.583,43144
561.354,42046
563.125,42575
564.896,42509
566.667,42010
568.438,40627
570.208,40459
571.979,39825
573.75,38835
575.521,37995
577.292,37052
579.062,35887
580.833,34954
582.604,34121
584.375,33416
586.146,32223
587.917,31402
589.688,30579
591.458,28880
593.229,27430
595,26869
596.771,25847
598.542,24429
600.312,23723
602.083,22568
603.854,21624
605.625,20761
607.396,19957
609.167,18999
610.938,17973
612.708,16934
614.479,16285
616.25,15587
618.021,14926
619.792,14148
621.562,13503
623.333,12456
625.104,11754
626.875,11425
628.646,10814
630.417,10447
632.188,9803
633.958,9453
635.729,8634
637.5,8227
639.271,7988
641.042,7314
642.812,7115
644.583,6818
646.354,6343
648.125,6146
649.896,5730
651.667,5495
653.438,5266
655.208,4965
656.979,4648
658.75,4272
660.521,4175
662.292,4041
664.062,3693
665.833,3441
667.604,3369
669.375,3148
671.146,3052
672.917,2731
674.688,2614
676.458,2502
678.229,2342
680,2214
681.771,1992
683.542,1879
685.312,1998
687.083,1802
688.854,1697
690.625,1598
692.396,1528
694.167,1478
695.938,1436
697.708,1354
699.479,1249
701.25,1156
703.021,1196
704.792,1102
706.562,1092
708.333,923
710.104,979
711.875,895
713.646,924
715.417,801
717.188,799
718.958,775
720.729,598
722.5,611
724.271,644
726.042,569
727.812,642
729.583,565
731.354,515
733.125,473
734.896,426
736.667,380
738.438,445
740.208,509
741.979,472
743.75,432
745.521,437
747.292,343
749.062,412
750.833,351
752.604,275
754.375,345
756.146,420
757.917,333
759.688,383
761.458,429
763.229,369
765,180
766.771,298
768.542,421
770.312,410
772.083,411
773.854,315
775.625,277
777.396,276
779.167,298
780.938,326
782.708,420
784.479,428
786.25,330
788.021,328
789.792,380
791.562,366
793.333,430
795.104,343
796.875,322
798.646,353
800.417,324
802.188,278
803.958,296
805.729,318
807.5,244
809.271,289
811.042,279
812.812,225
814.583,277
816.354,189
818.125,323
819.896,249
821.667,311
823.438,263
825.208,203
826.979,271
828.75,265
830.521,266
832.292,254
834.062,291
835.833,305
837.604,234
839.375,264
841.146,161
842.917,367
844.688,353
846.458,373
848.229,211
