x,y
340.0,0.0
341.771,14.5
343.542,12.0
345.312,211.4
347.083,201.0
348.854,179.2
350.625,237.9
352.396,215.2
354.167,173.3
355.938,201.9
357.708,189.4
359.479,223.8
361.25,203.2
363.021,225.7
364.792,211.3
366.562,210.1
368.333,209.6
370.104,226.9
371.875,199.3
373.646,224.3
375.417,195.9
377.188,193.4
378.958,221.1
380.729,217.6
382.5,199.0
384.271,193.6
386.042,192.3
387.812,195.4
389.583,200.4
391.354,190.5
393.125,198.1
394.896,202.0
396.667,208.1
398.438,222.8
400.208,233.1
401.979,214.3
403.75,233.7
405.521,229.6
407.292,224.8
409.062,233.9
410.833,271.2
412.604,269.7
414.375,283.3
416.146,340.3
417.917,382.5
419.688,479.1
421.458,622.4
423.229,826.4
425.0,1089.6
426.771,1585.4
428.542,2252.2
430.312,3322.0
432.083,4808.3
433.854,6985.9
435.625,10237.6
437.396,15013.2
439.167,21870.4
440.938,30384.9
442.708,38208.6
444.479,42930.4
446.25,43442.1
448.021,40392.0
449.792,35735.5
451.562,32175.1
453.333,30047.7
455.104,28218.9
456.875,25743.5
458.646,23134.8
460.417,20866.0
462.188,19554.4
463.958,18759.3
465.729,18637.7
467.5,18878.8
469.271,19016.9
471.042,19256.9
472.812,19885.5
474.583,20391.4
476.354,21198.1
478.125,21910.0
479.896,22850.8
481.667,23248.2
483.438,23620.8
485.208,24351.2
486.979,25438.8
488.75,26480.0
490.521,27876.0
492.292,29438.9
494.062,30805.0
495.833,32143.7
497.604,33376.2
499.375,34518.3
501.146,35304.8
502.917,35901.4
504.688,36716.7
506.458,37297.8
508.229,38147.3
510.0,38707.5
511.771,39219.1
513.542,39377.4
515.312,39928.4
517.083,40195.9
518.854,40437.2
520.625,40662.2
522.396,41287.9
524.167,41288.0
525.938,41208.7
527.708,41508.8
529.479,42312.3
531.25,42420.5
533.021,43213.8
534.792,43492.1
536.562,43792.1
538.333,44111.1
540.104,44602.7
541.875,45055.7
543.646,45469.3
545.417,44941.8
547.188,45532.6
548.958,45686.6
550.729,45536.5
552.5,45656.3
554.271,45652.8
556.042,45209.8
557.812,45451.0
559.583,45035.9
561.354,44384.5
563.125,44443.8
564.896,44337.5
566.667,43825.1
568.438,42536.8
570.208,42337.8
571.979,41493.3
573.75,40463.0
575.521,39664.0
577.292,38730.4
579.062,37617.7
580.833,36925.4
582.604,35745.6
584.375,34656.5
586.146,33440.9
587.917,32256.5
589.688,31280.1
591.458,30092.4
593.229,28830.9
595.0,27793.2
596.771,26704.8
598.542,25406.5
600.312,24297.0
602.083,23348.9
603.854,22186.5
605.625,21385.2
607.396,20266.2
609.167,19359.3
610.938,18211.6
612.708,17424.3
614.479,16564.8
616.25,15610.8
618.021,15002.9
619.792,14100.5
621.562,13441.4
623.333,12794.9
625.104,12077.2
626.875,11541.9
628.646,11006.4
630.417,10511.0
632.188,9940.0
633.958,9347.7
635.729,8799.9
637.5,8444.6
639.271,7869.6
641.042,7396.5
642.812,7065.9
644.583,6664.0
646.354,6328.0
648.125,6005.1
649.896,5737.0
651.667,5383.7
653.438,5110.9
655.208,4762.9
656.979,4490.9
658.75,4282.4
660.521,4064.2
662.292,3756.7
664.062,3588.1
665.833,3418.6
667.604,3278.7
669.375,3039.5
671.146,2895.1
672.917,2676.2
674.688,2562.3
676.458,2447.1
678.229,2242.0
680.0,2185.6
681.771,2080.6
683.542,1912.2
685.312,1778.1
687.083,1680.7
688.854,1651.4
690.625,1541.6
692.396,1477.0
694.167,1396.3
695.938,1294.7
697.708,1242.3
699.479,1184.8
701.25,1109.1
703.021,1037.5
704.792,1009.9
706.562,923.7
708.333,882.4
710.104,844.5
711.875,791.2
713.646,779.8
715.417,736.5
717.188,639.5
718.958,640.4
720.729,632.8
722.5,582.3
724.271,585.1
726.042,520.1
727.812,474.4
729.583,500.5
731.354,460.4
733.125,438.6
734.896,389.9
736.667,409.2
738.438,390.2
740.208,373.5
741.979,355.7
743.75,376.3
745.521,326.3
747.292,306.7
749.062,318.4
750.833,302.3
752.604,337.5
754.375,304.1
756.146,259.7
757.917,279.2
759.688,289.9
761.458,270.7
763.229,250.4
765.0,245.5
766.771,234.3
768.542,258.9
770.312,255.8
772.083,220.0
773.854,243.6
775.625,255.7
777.396,236.5
779.167,252.9
780.938,251.5
782.708,254.6
784.479,265.6
786.25,266.5
788.021,236.9
789.792,261.8
791.562,257.7
793.333,243.4
795.104,230.0
796.875,227.6
798.646,259.9
800.417,232.2
802.188,238.4
803.958,219.1
805.729,213.7
807.5,221.6
809.271,227.2
811.042,203.1
812.812,230.5
814.583,207.2
816.354,142.8
818.125,159.2
819.896,180.1
821.667,180.4
823.438,164.6
825.208,148.9
826.979,148.9
828.75,154.6
830.521,171.6
832.292,138.0
834.062,160.2
835.833,186.9
837.604,166.2
839.375,155.3
841.146,153.7
842.917,185.2
844.688,166.1
846.458,137.7
848.229,156.9
