x,y
900.989,10829
904.913,11685
908.832,13028
914.051,13896
917.96,15463
921.865,17210
925.765,18834
929.661,20949
933.553,24318
937.44,27777
941.322,30899
945.2,34065
949.074,36872
954.232,40001
958.095,43139
961.954,44977
965.809,47211
969.659,48784
973.505,50587
977.346,51703
981.182,52930
985.015,52892
990.118,53006
993.94,52459
997.757,52199
1001.57,52278
1005.38,51565
1009.18,51402
1012.98,51191
1016.78,51104
1020.57,50694
1024.36,51458
1029.4,50795
1033.17,50654
1036.95,50731
1040.71,50974
1044.48,51049
1048.23,51975
1051.99,51890
1055.74,52778
1059.48,52612
1063.22,52991
1068.2,53555
1071.93,53327
1075.66,53460
1079.38,54194
1083.1,54218
1086.81,53667
1090.52,54123
1094.22,54106
1097.92,54148
1102.85,53705
1106.54,53787
1110.22,53749
1113.9,53316
1117.58,53203
1121.25,52832
1124.92,52335
1128.58,51610
1132.24,50742
1135.89,49426
1140.76,46887
1144.4,45574
1148.04,43457
1151.67,39503
1155.3,36789
1158.93,34392
1162.55,31163
1166.16,30327
1169.78,29332
1173.38,28513
1178.19,26483
1181.79,24278
1185.38,21233
1188.97,19587
1192.55,17350
1196.13,16401
1199.71,14784
1203.28,13313
1206.84,12870
1211.59,13626
1215.15,16087
1218.7,20525
1222.25,26012
1225.79,32994
1229.33,38796
1232.86,44637
1236.39,49341
1239.92,53392
1243.44,55943
1248.12,60768
1251.63,62950
1255.14,65456
1258.64,67577
1262.14,69242
1265.63,70364
1269.12,72418
1272.6,73765
1276.08,74799
1279.56,76045
1284.18,76773
1287.65,77754
1291.11,78498
1294.56,79336
1298.01,79890
1301.46,80131
1304.9,80228
1308.34,80750
1311.77,81002
1316.34,81138
1319.77,81535
1323.19,81358
1326.6,81164
1330.01,80931
1333.42,80146
1336.82,79023
1340.21,78425
1343.61,77514
1346.99,75901
1351.5,72244
1354.88,68546
1358.25,64759
1361.62,61762
1364.99,57173
1368.34,53361
1371.7,48622
1375.05,43347
1378.4,38212
1381.74,33205
1386.19,27352
1389.52,25228
1392.85,24815
1396.17,25868
1399.49,26349
1402.8,26270
1406.11,24749
1409.41,23801
1412.72,23001
1417.11,24260
1420.4,25208
1423.68,26563
1426.97,26827
1430.24,28542
1433.52,29063
1436.78,30269
1440.05,31820
1443.31,33569
1446.56,35910
1450.89,37818
1454.14,39647
1457.38,41262
1460.61,41992
1463.84,43505
1467.07,44575
1470.29,45171
1473.51,46229
1476.72,46957
1479.93,47820
1484.2,48850
1487.4,49257
1490.6,49907
1493.79,50236
1496.97,50173
1500.15,50763
1503.33,50141
1506.5,49746
1509.67,49645
1513.88,49514
1517.04,48825
1520.19,48420
1523.34,47642
1526.49,47169
1529.63,47152
1532.76,46802
1535.89,46380
1539.02,46196
1542.14,46129
1546.29,46123
1549.41,46211
1552.51,45257
1555.61,44821
1558.71,45054
1561.81,43169
1564.9,43091
1567.98,41682
1571.06,41258
1574.14,40850
1578.23,39808
1581.3,39232
1584.36,39449
1587.41,38529
1590.47,37213
1593.51,36526
1596.56,35962
1599.6,34926
1602.63,33589
1606.67,32139
1609.69,31484
1612.71,30058
1615.73,29563
1618.74,28729
1621.75,27965
1624.75,26258
1627.75,24879
1630.74,24175
1633.73,23473
1637.71,22189
1640.68,20567
1643.66,19094
1646.63,18045
1649.59,16401
1652.55,15378
1655.51,13373
1658.46,12182
1661.41,10601
1664.35,8868
1668.27,7400
1671.2,6801
1674.13,5860
1677.05,4430
1679.97,3376
1682.89,2291
1685.8,1557
1688.7,1199
1691.61,223
1694.5,336
1698.36,161
1701.25,325
