x,y
340,0
341.771,2
343.542,4
345.312,0
347.083,76
348.854,35
350.625,48
352.396,0
354.167,104
355.938,27
357.708,74
359.479,99
361.25,78
363.021,108
364.792,104
366.562,65
368.333,85
370.104,19
371.875,141
373.646,62
375.417,3
377.188,85
378.958,112
380.729,0
382.5,0
384.271,0
386.042,106
387.812,7
389.583,129
391.354,0
393.125,6
394.896,65
396.667,116
398.438,111
400.208,258
401.979,319
403.75,501
405.521,665
407.292,667
409.062,873
410.833,835
412.604,896
414.375,915
416.146,1000
417.917,899
419.688,1019
421.458,1007
423.229,1083
425,1212
426.771,1296
428.542,1389
430.312,1451
432.083,1441
433.854,1528
435.625,1633
437.396,1663
439.167,1704
440.938,1849
442.708,1880
444.479,1920
446.25,1903
448.021,1950
449.792,2007
451.562,2237
453.333,2166
455.104,2306
456.875,2434
458.646,2251
460.417,2418
462.188,2353
463.958,2330
465.729,2254
467.5,2286
469.271,2160
471.042,2029
472.812,2178
474.583,2167
476.354,2137
478.125,2257
479.896,2141
481.667,2090
483.438,2355
485.208,2307
486.979,2345
488.75,2563
490.521,2504
492.292,2782
494.062,3041
495.833,3042
497.604,3112
499.375,3094
501.146,3004
502.917,2899
504.688,2860
506.458,2635
508.229,2646
510,2571
511.771,2438
513.542,2372
515.312,2395
517.083,2349
518.854,2185
520.625,2252
522.396,2305
524.167,2201
525.938,2050
527.708,1837
529.479,1810
531.25,1815
533.021,1843
534.792,1816
536.562,1617
538.333,1557
540.104,1602
541.875,1500
543.646,1506
545.417,1413
547.188,1438
548.958,1223
550.729,1331
552.5,1189
554.271,1236
556.042,1216
557.812,1067
559.583,1024
561.354,981
563.125,1020
564.896,1026
566.667,836
568.438,1039
570.208,957
571.979,798
573.75,830
575.521,794
577.292,832
579.062,852
580.833,818
582.604,869
584.375,954
586.146,936
587.917,1139
589.688,1081
591.458,1046
593.229,1295
595,1399
596.771,1936
598.542,2140
600.312,2907
602.083,3521
603.854,4708
605.625,6264
607.396,7986
609.167,10395
610.938,13017
612.708,16455
614.479,19905
616.25,24006
618.021,28737
619.792,32328
621.562,35447
623.333,37584
625.104,38541
626.875,38159
628.646,35660
630.417,32645
632.188,28700
633.958,24467
635.729,20687
637.5,17403
639.271,14803
641.042,12553
642.812,11018
644.583,10176
646.354,9352
648.125,9103
649.896,8545
651.667,8645
653.438,8402
655.208,8177
656.979,8236
658.75,8101
660.521,7888
662.292,8071
664.062,8038
665.833,7866
667.604,7945
669.375,7838
671.146,7602
672.917,7215
674.688,6889
676.458,6495
678.229,5908
680,5608
681.771,4885
683.542,4588
685.312,4283
687.083,3914
688.854,3464
690.625,3178
692.396,3044
694.167,2745
695.938,2779
697.708,2434
699.479,2406
701.25,2010
703.021,1798
704.792,1717
706.562,1630
708.333,1364
710.104,1249
711.875,1214
713.646,1129
715.417,931
717.188,933
718.958,837
720.729,760
722.5,716
724.271,577
726.042,526
727.812,582
729.583,481
731.354,548
733.125,503
734.896,430
736.667,410
738.438,412
740.208,365
741.979,349
743.75,352
745.521,337
747.292,388
749.062,367
750.833,220
752.604,162
754.375,230
756.146,183
757.917,165
759.688,261
761.458,166
763.229,225
765,202
766.771,136
768.542,81
770.312,150
772.083,261
773.854,229
775.625,340
777.396,181
779.167,211
780.938,171
782.708,184
784.479,120
786.25,80
788.021,247
789.792,152
791.562,38
793.333,88
795.104,198
796.875,93
798.646,127
800.417,142
802.188,94
803.958,61
805.729,42
807.5,141
809.271,26
811.042,158
812.812,138
814.583,63
816.354,164
818.125,0
819.896,126
821.667,96
823.438,62
825.208,88
826.979,78
828.75,174
830.521,193
832.292,72
834.062,0
835.833,170
837.604,148
839.375,118
841.146,0
842.917,112
844.688,24
846.458,67
848.229,74
