x,y
340,0
341.771,0
343.542,0
345.312,54
347.083,125
348.854,40
350.625,127
352.396,3
354.167,134
355.938,177
357.708,0
359.479,92
361.25,6
363.021,0
364.792,131
366.562,35
368.333,0
370.104,181
371.875,0
373.646,0
375.417,95
377.188,146
378.958,78
380.729,0
382.5,92
384.271,67
386.042,75
387.812,152
389.583,0
391.354,45
393.125,104
394.896,2
396.667,47
398.438,22
400.208,47
401.979,0
403.75,29
405.521,17
407.292,154
409.062,18
410.833,62
412.604,15
414.375,9
416.146,106
417.917,68
419.688,41
421.458,0
423.229,0
425,42
426.771,18
428.542,0
430.312,70
432.083,99
433.854,134
435.625,195
437.396,247
439.167,403
440.938,395
442.708,629
444.479,603
446.25,658
448.021,534
449.792,582
451.562,509
453.333,575
455.104,597
456.875,514
458.646,493
460.417,592
462.188,625
463.958,521
465.729,475
467.5,616
469.271,667
471.042,805
472.812,898
474.583,983
476.354,1121
478.125,1349
479.896,1585
481.667,1945
483.438,2241
485.208,2707
486.979,3356
488.75,3843
490.521,4746
492.292,5631
494.062,6550
495.833,7675
497.604,8491
499.375,9298
501.146,9605
502.917,9844
504.688,10163
506.458,10068
508.229,10561
510,10987
511.771,11893
513.542,12681
515.312,13693
517.083,14612
518.854,14871
520.625,15307
522.396,15782
524.167,16002
525.938,15631
527.708,16085
529.479,16268
531.25,16057
533.021,16338
534.792,16603
536.562,16660
538.333,16750
540.104,16951
541.875,16794
543.646,17004
545.417,16976
547.188,16627
548.958,16425
550.729,16535
552.5,16208
554.271,15991
556.042,15344
557.812,15175
559.583,14674
561.354,13959
563.125,13507
564.896,13259
566.667,12628
568.438,12527
570.208,12471
571.979,12497
573.75,12463
575.521,12623
577.292,12297
579.062,12306
580.833,12069
582.604,11782
584.375,11307
586.146,10916
587.917,10775
589.688,10471
591.458,9920
593.229,9486
595,9039
596.771,8382
598.542,7907
600.312,7285
602.083,6585
603.854,5636
605.625,5048
607.396,4161
609.167,3609
610.938,2947
612.708,2520
614.479,2234
616.25,1966
618.021,1971
619.792,1982
621.562,2134
623.333,2354
625.104,2796
626.875,3223
628.646,3406
630.417,3881
632.188,3879
633.958,4089
635.729,3965
637.5,4207
639.271,4010
641.042,3780
642.812,3828
644.583,3560
646.354,3500
648.125,3324
649.896,3287
651.667,2986
653.438,2893
655.208,2742
656.979,2534
658.75,2499
660.521,2422
662.292,2361
664.062,2093
665.833,2018
667.604,2015
669.375,1951
671.146,1914
672.917,1792
674.688,1601
676.458,1505
678.229,1534
680,1376
681.771,1234
683.542,1168
685.312,1129
687.083,1054
688.854,962
690.625,1048
692.396,815
694.167,852
695.938,846
697.708,738
699.479,635
701.25,645
703.021,687
704.792,627
706.562,647
708.333,623
710.104,460
711.875,496
713.646,496
715.417,464
717.188,491
718.958,403
720.729,273
722.5,364
724.271,273
726.042,372
727.812,240
729.583,145
731.354,267
733.125,238
734.896,269
736.667,162
738.438,211
740.208,212
741.979,181
743.75,169
745.521,106
747.292,207
749.062,165
750.833,309
752.604,93
754.375,94
756.146,193
757.917,171
759.688,201
761.458,154
763.229,207
765,106
766.771,115
768.542,140
770.312,68
772.083,154
773.854,75
775.625,102
777.396,153
779.167,45
780.938,80
782.708,50
784.479,34
786.25,0
788.021,121
789.792,137
791.562,41
793.333,169
795.104,151
796.875,61
798.646,90
800.417,110
802.188,101
803.958,135
805.729,106
807.5,130
809.271,82
811.042,0
812.812,0
814.583,98
816.354,56
818.125,57
819.896,133
821.667,85
823.438,29
825.208,85
826.979,126
828.75,24
830.521,17
832.292,45
834.062,140
835.833,0
837.604,10
839.375,28
841.146,0
842.917,0
844.688,16
846.458,12
848.229,40
