x,y
900.989,10339
904.913,11220
908.832,11731
914.051,13312
917.96,14499
921.865,16097
925.765,17949
929.661,19804
933.553,22645
937.44,25559
941.322,28160
945.2,30852
949.074,33412
954.232,36446
958.095,38448
961.954,39989
965.809,41773
969.659,43578
973.505,44720
977.346,45837
981.182,46696
985.015,46573
990.118,46480
993.94,46311
997.757,45923
1001.57,45609
1005.38,45219
1009.18,44856
1012.98,44654
1016.78,44767
1020.57,44272
1024.36,44355
1029.4,44416
1033.17,44079
1036.95,43886
1040.71,44714
1044.48,44809
1048.23,44823
1051.99,45233
1055.74,45441
1059.48,45800
1063.22,46251
1068.2,46284
1071.93,46306
1075.66,46531
1079.38,46403
1083.1,46856
1086.81,47054
1090.52,46745
1094.22,47037
1097.92,46997
1102.85,47020
1106.54,47049
1110.22,46752
1113.9,47082
1117.58,46767
1121.25,46483
1124.92,45898
1128.58,45528
1132.24,44813
1135.89,43775
1140.76,41671
1144.4,39946
1148.04,37822
1151.67,35229
1155.3,32184
1158.93,29478
1162.55,27528
1166.16,26426
1169.78,26053
1173.38,25451
1178.19,23772
1181.79,21515
1185.38,19058
1188.97,17196
1192.55,15786
1196.13,14417
1199.71,12578
1203.28,12348
1206.84,11562
1211.59,13210
1215.15,14877
1218.7,19197
1222.25,23999
1225.79,29887
1229.33,35292
1232.86,40270
1236.39,43935
1239.92,47587
1243.44,51008
1248.12,53979
1251.63,55930
1255.14,58142
1258.64,59511
1262.14,61544
1265.63,62773
1269.12,63758
1272.6,65333
1276.08,66174
1279.56,66848
1284.18,67906
1287.65,68788
1291.11,69474
1294.56,69811
1298.01,69984
1301.46,70611
1304.9,71381
1308.34,71256
1311.77,71617
1316.34,71646
1319.77,71848
1323.19,71972
1326.6,71632
1330.01,71189
1333.42,70895
1336.82,70588
1340.21,70188
1343.61,68489
1346.99,67123
1351.5,63626
1354.88,61025
1358.25,57212
1361.62,54704
1364.99,51511
1368.34,47881
1371.7,43389
1375.05,38765
1378.4,34361
1381.74,29726
1386.19,24722
1389.52,22620
1392.85,22959
1396.17,23671
1399.49,23690
1402.8,23395
1406.11,22703
1409.41,21432
1412.72,21073
1417.11,21905
1420.4,22741
1423.68,23543
1426.97,24272
1430.24,25318
1433.52,26300
1436.78,27313
1440.05,28537
1443.31,30572
1446.56,32150
1450.89,33887
1454.14,34972
1457.38,36963
1460.61,37528
1463.84,38459
1467.07,39712
1470.29,40317
1473.51,41190
1476.72,42011
1479.93,43235
1484.2,43842
1487.4,43861
1490.6,43934
1493.79,44762
1496.97,44625
1500.15,44775
1503.33,44741
1506.5,44428
1509.67,44229
1513.88,44256
1517.04,43490
1520.19,43174
1523.34,42141
1526.49,42532
1529.63,42141
1532.76,41577
1535.89,41086
1539.02,41246
1542.14,41369
1546.29,40571
1549.41,40619
1552.51,40457
1555.61,39810
1558.71,39266
1561.81,38798
1564.9,38130
1567.98,37522
1571.06,36380
1574.14,36510
1578.23,35758
1581.3,35316
1584.36,34495
1587.41,34321
1590.47,33469
1593.51,32380
1596.56,31883
1599.6,30835
1602.63,30165
1606.67,28569
1609.69,27891
1612.71,26822
1615.73,26065
1618.74,25038
1621.75,24489
1624.75,23205
1627.75,22411
1630.74,21553
1633.73,20392
1637.71,18984
1640.68,18057
1643.66,17213
1646.63,15544
1649.59,14423
1652.55,13023
1655.51,11653
1658.46,9880
1661.41,8810
1664.35,7372
1668.27,6437
1671.2,5783
1674.13,4696
1677.05,3826
1679.97,2816
1682.89,2065
1685.8,1002
1688.7,808
1691.61,393
1694.5,170
1698.36,49
1701.25,568
