x,y
340,0
341.771,18
343.542,22
345.312,41
347.083,35
348.854,0
350.625,56
352.396,99
354.167,86
355.938,35
357.708,40
359.479,89
361.25,55
363.021,79
364.792,95
366.562,97
368.333,22
370.104,78
371.875,99
373.646,139
375.417,36
377.188,17
378.958,123
380.729,43
382.5,0
384.271,7
386.042,109
387.812,64
389.583,0
391.354,0
393.125,147
394.896,0
396.667,61
398.438,55
400.208,133
401.979,73
403.75,50
405.521,91
407.292,47
409.062,101
410.833,81
412.604,113
414.375,23
416.146,72
417.917,108
419.688,38
421.458,0
423.229,26
425,105
426.771,105
428.542,128
430.312,155
432.083,75
433.854,106
435.625,143
437.396,158
439.167,192
440.938,433
442.708,536
444.479,443
446.25,444
448.021,501
449.792,464
451.562,488
453.333,384
455.104,406
456.875,525
458.646,478
460.417,532
462.188,491
463.958,572
465.729,590
467.5,705
469.271,669
471.042,815
472.812,960
474.583,1045
476.354,1250
478.125,1651
479.896,1888
481.667,2268
483.438,2773
485.208,3215
486.979,3816
488.75,4921
490.521,5662
492.292,6929
494.062,8277
495.833,9443
497.604,10134
499.375,10867
501.146,11192
502.917,11405
504.688,11454
506.458,11415
508.229,12045
510,12388
511.771,13707
513.542,14942
515.312,15691
517.083,16519
518.854,16570
520.625,17202
522.396,17320
524.167,17654
525.938,17538
527.708,17543
529.479,17571
531.25,17618
533.021,17786
534.792,18238
536.562,18234
538.333,18310
540.104,18355
541.875,18835
543.646,18578
545.417,18239
547.188,18456
548.958,18337
550.729,18100
552.5,18010
554.271,17527
556.042,16883
557.812,16580
559.583,15561
561.354,15110
563.125,14456
564.896,14238
566.667,13747
568.438,13141
570.208,13326
571.979,13298
573.75,13252
575.521,13137
577.292,13342
579.062,12891
580.833,13192
582.604,12704
584.375,12795
586.146,12611
587.917,11910
589.688,11619
591.458,11262
593.229,10640
595,10006
596.771,9575
598.542,8741
600.312,8044
602.083,7203
603.854,6251
605.625,5498
607.396,4831
609.167,3961
610.938,3288
612.708,2793
614.479,2472
616.25,2314
618.021,2365
619.792,2365
621.562,2472
623.333,2804
625.104,3295
626.875,3765
628.646,4193
630.417,4419
632.188,4759
633.958,4637
635.729,4650
637.5,4685
639.271,4516
641.042,4205
642.812,4189
644.583,3993
646.354,3780
648.125,3552
649.896,3561
651.667,3446
653.438,3142
655.208,3048
656.979,2856
658.75,2807
660.521,2839
662.292,2621
664.062,2326
665.833,2223
667.604,2337
669.375,2229
671.146,2110
672.917,1866
674.688,1909
676.458,1708
678.229,1756
680,1680
681.771,1499
683.542,1379
685.312,1328
687.083,1104
688.854,1139
690.625,1005
692.396,1092
694.167,974
695.938,890
697.708,838
699.479,798
701.25,766
703.021,749
704.792,808
706.562,682
708.333,568
710.104,528
711.875,582
713.646,463
715.417,508
717.188,457
718.958,455
720.729,353
722.5,396
724.271,279
726.042,361
727.812,332
729.583,374
731.354,303
733.125,255
734.896,270
736.667,221
738.438,273
740.208,361
741.979,365
743.75,198
745.521,148
747.292,249
749.062,211
750.833,140
752.604,186
754.375,216
756.146,80
757.917,140
759.688,85
761.458,100
763.229,120
765,135
766.771,82
768.542,118
770.312,60
772.083,140
773.854,98
775.625,224
777.396,122
779.167,159
780.938,187
782.708,56
784.479,73
786.25,180
788.021,117
789.792,142
791.562,168
793.333,196
795.104,57
796.875,3
798.646,156
800.417,100
802.188,57
803.958,77
805.729,114
807.5,59
809.271,117
811.042,65
812.812,108
814.583,17
816.354,100
818.125,71
819.896,110
821.667,140
823.438,42
825.208,0
826.979,0
828.75,149
830.521,33
832.292,6
834.062,128
835.833,39
837.604,0
839.375,63
841.146,110
842.917,127
844.688,0
846.458,137
848.229,58
