x,y
340,0
341.771,0
343.542,6
345.312,70
347.083,95
348.854,119
350.625,91
352.396,0
354.167,42
355.938,0
357.708,15
359.479,111
361.25,74
363.021,35
364.792,33
366.562,115
368.333,51
370.104,89
371.875,31
373.646,0
375.417,56
377.188,48
378.958,87
380.729,155
382.5,84
384.271,30
386.042,97
387.812,100
389.583,61
391.354,149
393.125,27
394.896,34
396.667,69
398.438,25
400.208,59
401.979,148
403.75,123
405.521,230
407.292,191
409.062,332
410.833,219
412.604,239
414.375,399
416.146,290
417.917,357
419.688,280
421.458,443
423.229,366
425,386
426.771,444
428.542,560
430.312,601
432.083,757
433.854,813
435.625,716
437.396,846
439.167,864
440.938,964
442.708,1017
444.479,981
446.25,929
448.021,1099
449.792,1064
451.562,1175
453.333,1223
455.104,1301
456.875,1439
458.646,1408
460.417,1465
462.188,1514
463.958,1460
465.729,1452
467.5,1329
469.271,1462
471.042,1404
472.812,1289
474.583,1421
476.354,1385
478.125,1342
479.896,1508
481.667,1495
483.438,1535
485.208,1601
486.979,1724
488.75,1593
490.521,1852
492.292,1962
494.062,1939
495.833,2209
497.604,2229
499.375,2183
501.146,2153
502.917,1939
504.688,1941
506.458,1838
508.229,1905
510,1816
511.771,1902
513.542,1669
515.312,1752
517.083,1501
518.854,1673
520.625,1550
522.396,1507
524.167,1506
525.938,1380
527.708,1371
529.479,1428
531.25,1341
533.021,1124
534.792,1197
536.562,1109
538.333,1189
540.104,1162
541.875,1131
543.646,1125
545.417,1038
547.188,1110
548.958,1035
550.729,1005
552.5,969
554.271,865
556.042,849
557.812,844
559.583,827
561.354,819
563.125,834
564.896,787
566.667,768
568.438,744
570.208,660
571.979,717
573.75,779
575.521,702
577.292,632
579.062,803
580.833,745
582.604,831
584.375,790
586.146,738
587.917,882
589.688,924
591.458,1090
593.229,1270
595,1514
596.771,1874
598.542,2365
600.312,3054
602.083,4097
603.854,5200
605.625,6937
607.396,9130
609.167,11928
610.938,15296
612.708,19015
614.479,23721
616.25,28009
618.021,33058
619.792,37280
621.562,40742
623.333,43264
625.104,43518
626.875,42965
628.646,38994
630.417,35589
632.188,30906
633.958,26139
635.729,21974
637.5,18468
639.271,15342
641.042,13475
642.812,11903
644.583,10547
646.354,10010
648.125,9377
649.896,8895
651.667,8872
653.438,8796
655.208,8561
656.979,8224
658.75,8585
660.521,8652
662.292,8412
664.062,8373
665.833,8418
667.604,8242
669.375,8108
671.146,7989
672.917,7404
674.688,6925
676.458,6783
678.229,6125
680,5650
681.771,5236
683.542,4743
685.312,4325
687.083,3957
688.854,3658
690.625,3261
692.396,3035
694.167,2973
695.938,2885
697.708,2483
699.479,2307
701.25,2089
703.021,2068
704.792,1788
706.562,1676
708.333,1505
710.104,1224
711.875,1214
713.646,1036
715.417,890
717.188,828
718.958,742
720.729,709
722.5,717
724.271,677
726.042,603
727.812,570
729.583,390
731.354,429
733.125,553
734.896,367
736.667,459
738.438,286
740.208,450
741.979,372
743.75,307
745.521,311
747.292,342
749.062,213
750.833,254
752.604,388
754.375,227
756.146,217
757.917,288
759.688,263
761.458,256
763.229,174
765,290
766.771,191
768.542,120
770.312,214
772.083,40
773.854,214
775.625,111
777.396,213
779.167,193
780.938,212
782.708,226
784.479,144
786.25,142
788.021,110
789.792,158
791.562,131
793.333,139
795.104,42
796.875,140
798.646,18
800.417,50
802.188,75
803.958,70
805.729,73
807.5,121
809.271,41
811.042,99
812.812,73
814.583,0
816.354,7
818.125,1
819.896,70
821.667,49
823.438,59
825.208,104
826.979,52
828.75,21
830.521,45
832.292,0
834.062,92
835.833,135
837.604,43
839.375,40
841.146,172
842.917,33
844.688,66
846.458,176
848.229,59
