x,y
340,0
341.771,63
343.542,11
345.312,239
347.083,263
348.854,227
350.625,220
352.396,253
354.167,290
355.938,254
357.708,288
359.479,327
361.25,256
363.021,245
364.792,274
366.562,258
368.333,243
370.104,153
371.875,279
373.646,298
375.417,272
377.188,267
378.958,303
380.729,228
382.5,224
384.271,198
386.042,216
387.812,212
389.583,259
391.354,278
393.125,242
394.896,195
396.667,277
398.438,188
400.208,259
401.979,323
403.75,362
405.521,457
407.292,364
409.062,236
410.833,498
412.604,398
414.375,441
416.146,474
417.917,575
419.688,510
421.458,512
423.229,467
425,549
426.771,555
428.542,644
430.312,737
432.083,771
433.854,884
435.625,767
437.396,831
439.167,869
440.938,1018
442.708,1015
444.479,1064
446.25,1040
448.021,1113
449.792,1169
451.562,1260
453.333,1303
455.104,1276
456.875,1328
458.646,1361
460.417,1348
462.188,1458
463.958,1485
465.729,1348
467.5,1460
469.271,1561
471.042,1267
472.812,1475
474.583,1326
476.354,1398
478.125,1412
479.896,1370
481.667,1491
483.438,1553
485.208,1345
486.979,1646
488.75,1727
490.521,1820
492.292,2035
494.062,2126
495.833,2095
497.604,2250
499.375,2112
501.146,2111
502.917,1974
504.688,2029
506.458,1844
508.229,1939
510,1790
511.771,1862
513.542,1963
515.312,1902
517.083,1775
518.854,1679
520.625,1720
522.396,1643
524.167,1655
525.938,1623
527.708,1626
529.479,1543
531.25,1281
533.021,1585
534.792,1457
536.562,1300
538.333,1419
540.104,1354
541.875,1332
543.646,1303
545.417,1245
547.188,1162
548.958,1082
550.729,1132
552.5,1096
554.271,1064
556.042,1124
557.812,1045
559.583,1025
561.354,902
563.125,939
564.896,915
566.667,1008
568.438,901
570.208,903
571.979,916
573.75,851
575.521,907
577.292,878
579.062,989
580.833,966
582.604,963
584.375,1030
586.146,1093
587.917,1226
589.688,1309
591.458,1593
593.229,1509
595,1931
596.771,2222
598.542,2688
600.312,3509
602.083,4403
603.854,5681
605.625,7537
607.396,9224
609.167,12118
610.938,15237
612.708,19133
614.479,23327
616.25,27751
618.021,32625
619.792,37253
621.562,41117
623.333,43875
625.104,44862
626.875,44408
628.646,41780
630.417,38835
632.188,33877
633.958,29384
635.729,24626
637.5,21130
639.271,18015
641.042,15761
642.812,13948
644.583,12421
646.354,11695
648.125,11374
649.896,10790
651.667,10458
653.438,10286
655.208,10285
656.979,10074
658.75,10089
660.521,10232
662.292,9963
664.062,9764
665.833,9988
667.604,9804
669.375,9629
671.146,9545
672.917,8964
674.688,8533
676.458,8218
678.229,7475
680,6879
681.771,6224
683.542,5770
685.312,5292
687.083,4936
688.854,4418
690.625,4165
692.396,3950
694.167,3605
695.938,3440
697.708,3117
699.479,3011
701.25,2654
703.021,2484
704.792,2313
706.562,2159
708.333,1963
710.104,1836
711.875,1629
713.646,1356
715.417,1355
717.188,1270
718.958,1189
720.729,1162
722.5,1007
724.271,934
726.042,943
727.812,905
729.583,760
731.354,834
733.125,658
734.896,732
736.667,673
738.438,637
740.208,602
741.979,589
743.75,511
745.521,550
747.292,546
749.062,512
750.833,572
752.604,517
754.375,450
756.146,482
757.917,487
759.688,377
761.458,590
763.229,482
765,421
766.771,438
768.542,462
770.312,489
772.083,390
773.854,359
775.625,422
777.396,321
779.167,272
780.938,375
782.708,397
784.479,474
786.25,385
788.021,388
789.792,394
791.562,320
793.333,430
795.104,273
796.875,358
798.646,356
800.417,421
802.188,253
803.958,250
805.729,225
807.5,414
809.271,289
811.042,407
812.812,299
814.583,221
816.354,375
818.125,275
819.896,395
821.667,197
823.438,321
825.208,389
826.979,265
828.75,300
830.521,336
832.292,190
834.062,370
835.833,228
837.604,404
839.375,367
841.146,375
842.917,353
844.688,364
846.458,390
848.229,271
