x,y
340,0
341.771,46
343.542,0
345.312,67
347.083,39
348.854,55
350.625,26
352.396,110
354.167,57
355.938,0
357.708,47
359.479,61
361.25,115
363.021,92
364.792,122
366.562,85
368.333,42
370.104,99
371.875,108
373.646,119
375.417,34
377.188,136
378.958,132
380.729,44
382.5,51
384.271,14
386.042,83
387.812,0
389.583,0
391.354,22
393.125,74
394.896,171
396.667,0
398.438,103
400.208,26
401.979,0
403.75,6
405.521,0
407.292,52
409.062,5
410.833,41
412.604,0
414.375,100
416.146,44
417.917,43
419.688,31
421.458,84
423.229,34
425,39
426.771,31
428.542,57
430.312,48
432.083,23
433.854,116
435.625,109
437.396,196
439.167,300
440.938,192
442.708,235
444.479,324
446.25,413
448.021,361
449.792,405
451.562,325
453.333,301
455.104,352
456.875,387
458.646,312
460.417,333
462.188,417
463.958,403
465.729,458
467.5,390
469.271,647
471.042,609
472.812,629
474.583,809
476.354,874
478.125,1143
479.896,1332
481.667,1730
483.438,2239
485.208,2644
486.979,3257
488.75,4036
490.521,4946
492.292,6324
494.062,7278
495.833,8627
497.604,9333
499.375,10332
501.146,10356
502.917,10446
504.688,10801
506.458,10494
508.229,11094
510,11740
511.771,12963
513.542,14133
515.312,15255
517.083,16304
518.854,17008
520.625,17244
522.396,17426
524.167,17352
525.938,17427
527.708,17290
529.479,17390
531.25,17339
533.021,17927
534.792,18106
536.562,18323
538.333,18205
540.104,18403
541.875,18780
543.646,18575
545.417,18256
547.188,18582
548.958,18450
550.729,18223
552.5,17509
554.271,17372
556.042,16616
557.812,15933
559.583,15301
561.354,14322
563.125,14075
564.896,13458
566.667,13283
568.438,12576
570.208,13133
571.979,12658
573.75,12543
575.521,12629
577.292,12767
579.062,12681
580.833,12631
582.604,12440
584.375,12322
586.146,11990
587.917,11545
589.688,11249
591.458,10539
593.229,10325
595,9784
596.771,9024
598.542,8436
600.312,7538
602.083,6634
603.854,5907
605.625,5151
607.396,4191
609.167,3370
610.938,2800
612.708,2191
614.479,1975
616.25,1769
618.021,1785
619.792,1851
621.562,2217
623.333,2598
625.104,2921
626.875,3321
628.646,3739
630.417,4090
632.188,4439
633.958,4479
635.729,4501
637.5,4440
639.271,4430
641.042,4346
642.812,4308
644.583,4000
646.354,3897
648.125,3735
649.896,3716
651.667,3430
653.438,3328
655.208,3242
656.979,2961
658.75,2801
660.521,2791
662.292,2668
664.062,2431
665.833,2524
667.604,2275
669.375,2329
671.146,2143
672.917,2020
674.688,1926
676.458,1714
678.229,1764
680,1639
681.771,1323
683.542,1450
685.312,1380
687.083,1305
688.854,1241
690.625,1156
692.396,1138
694.167,982
695.938,1005
697.708,875
699.479,930
701.25,757
703.021,871
704.792,666
706.562,630
708.333,650
710.104,543
711.875,539
713.646,450
715.417,599
717.188,384
718.958,423
720.729,467
722.5,323
724.271,515
726.042,396
727.812,408
729.583,250
731.354,253
733.125,233
734.896,284
736.667,213
738.438,273
740.208,241
741.979,173
743.75,169
745.521,207
747.292,146
749.062,187
750.833,265
752.604,159
754.375,142
756.146,146
757.917,125
759.688,237
761.458,86
763.229,161
765,74
766.771,76
768.542,135
770.312,141
772.083,4
773.854,179
775.625,208
777.396,108
779.167,170
780.938,156
782.708,82
784.479,93
786.25,179
788.021,117
789.792,37
791.562,197
793.333,85
795.104,240
796.875,56
798.646,227
800.417,17
802.188,162
803.958,105
805.729,181
807.5,155
809.271,35
811.042,184
812.812,170
814.583,150
816.354,0
818.125,140
819.896,140
821.667,0
823.438,36
825.208,18
826.979,56
828.75,4
830.521,89
832.292,111
834.062,236
835.833,121
837.604,19
839.375,0
841.146,0
842.917,102
844.688,76
846.458,51
848.229,8
