x,y
900.989,11846
904.913,13025
908.832,13631
914.051,15182
917.96,16408
921.865,18173
925.765,20373
929.661,22745
933.553,26211
937.44,29418
941.322,33030
945.2,36364
949.074,39226
954.232,42536
958.095,45435
961.954,47818
965.809,49710
969.659,51681
973.505,52981
977.346,54568
981.182,55647
985.015,55542
990.118,55616
993.94,55482
997.757,55061
1001.57,54611
1005.38,54350
1009.18,53866
1012.98,53804
1016.78,53786
1020.57,53764
1024.36,53694
1029.4,53785
1033.17,53267
1036.95,53340
1040.71,53481
1044.48,54356
1048.23,54629
1051.99,55313
1055.74,55016
1059.48,56186
1063.22,56172
1068.2,56221
1071.93,56334
1075.66,56900
1079.38,56565
1083.1,56724
1086.81,56813
1090.52,57483
1094.22,57308
1097.92,57099
1102.85,56789
1106.54,57019
1110.22,57196
1113.9,56481
1117.58,56245
1121.25,55578
1124.92,55487
1128.58,55007
1132.24,54190
1135.89,52591
1140.76,50438
1144.4,47598
1148.04,44989
1151.67,42340
1155.3,38843
1158.93,35700
1162.55,33028
1166.16,31999
1169.78,31145
1173.38,30520
1178.19,27795
1181.79,25353
1185.38,22655
1188.97,20707
1192.55,18833
1196.13,17272
1199.71,15648
1203.28,14230
1206.84,13619
1211.59,15081
1215.15,18053
1218.7,22596
1222.25,29069
1225.79,35938
1229.33,42477
1232.86,47644
1236.39,52549
1239.92,57208
1243.44,60709
1248.12,64578
1251.63,66443
1255.14,68826
1258.64,70525
1262.14,73407
1265.63,75033
1269.12,76513
1272.6,77902
1276.08,79008
1279.56,79869
1284.18,81093
1287.65,82176
1291.11,83017
1294.56,83337
1298.01,83686
1301.46,84575
1304.9,84540
1308.34,85208
1311.77,85786
1316.34,85633
1319.77,85881
1323.19,85933
1326.6,85435
1330.01,85188
1333.42,84682
1336.82,84230
1340.21,82838
1343.61,81438
1346.99,79545
1351.5,75783
1354.88,72118
1358.25,67969
1361.62,64578
1364.99,60205
1368.34,56256
1371.7,51248
1375.05,45791
1378.4,40204
1381.74,34843
1386.19,29069
1389.52,26816
1392.85,26691
1396.17,27697
1399.49,28388
1402.8,27444
1406.11,26249
1409.41,24281
1412.72,23459
1417.11,24477
1420.4,25777
1423.68,26800
1426.97,27951
1430.24,28483
1433.52,29788
1436.78,31211
1440.05,32623
1443.31,34539
1446.56,36208
1450.89,38875
1454.14,40137
1457.38,41740
1460.61,43459
1463.84,44738
1467.07,46057
1470.29,47131
1473.51,48500
1476.72,49216
1479.93,49264
1484.2,50555
1487.4,51513
1490.6,51669
1493.79,52091
1496.97,52129
1500.15,51986
1503.33,52194
1506.5,51842
1509.67,51024
1513.88,50880
1517.04,50546
1520.19,50115
1523.34,49689
1526.49,48812
1529.63,47717
1532.76,48355
1535.89,47753
1539.02,47679
1542.14,46802
1546.29,47418
1549.41,46661
1552.51,46416
1555.61,45447
1558.71,45130
1561.81,44686
1564.9,43810
1567.98,43020
1571.06,42311
1574.14,41850
1578.23,41019
1581.3,40495
1584.36,39838
1587.41,39159
1590.47,37715
1593.51,37273
1596.56,36350
1599.6,34979
1602.63,34597
1606.67,33152
1609.69,31973
1612.71,30636
1615.73,29959
1618.74,29025
1621.75,28198
1624.75,27090
1627.75,25463
1630.74,24600
1633.73,23064
1637.71,22022
1640.68,20720
1643.66,19312
1646.63,17854
1649.59,16335
1652.55,15216
1655.51,13924
1658.46,11735
1661.41,10432
1664.35,8753
1668.27,7685
1671.2,6533
1674.13,5436
1677.05,4581
1679.97,3630
1682.89,2485
1685.8,2139
1688.7,1019
1691.61,407
1694.5,117
1698.36,523
1701.25,272
