x,y
340,0
341.771,32
343.542,7
345.312,0
347.083,41
348.854,26
350.625,0
352.396,39
354.167,18
355.938,0
357.708,48
359.479,39
361.25,75
363.021,46
364.792,103
366.562,0
368.333,2
370.104,90
371.875,96
373.646,0
375.417,0
377.188,24
378.958,53
380.729,8
382.5,2
384.271,191
386.042,202
387.812,351
389.583,457
391.354,308
393.125,189
394.896,178
396.667,20
398.438,153
400.208,74
401.979,194
403.75,246
405.521,248
407.292,544
409.062,364
410.833,704
412.604,809
414.375,1167
416.146,1548
417.917,1970
419.688,2407
421.458,2810
423.229,3297
425,3439
426.771,3537
428.542,3888
430.312,4384
432.083,4508
433.854,4984
435.625,5257
437.396,5286
439.167,5462
440.938,5408
442.708,5297
444.479,5129
446.25,5125
448.021,4693
449.792,4699
451.562,4502
453.333,4475
455.104,4052
456.875,3882
458.646,3659
460.417,3229
462.188,3033
463.958,2532
465.729,2450
467.5,2144
469.271,2043
471.042,1700
472.812,1613
474.583,1587
476.354,1497
478.125,1316
479.896,1243
481.667,1138
483.438,1171
485.208,1049
486.979,953
488.75,903
490.521,985
492.292,867
494.062,732
495.833,754
497.604,753
499.375,483
501.146,485
502.917,430
504.688,471
506.458,466
508.229,547
510,356
511.771,413
513.542,334
515.312,348
517.083,311
518.854,313
520.625,198
522.396,320
524.167,272
525.938,233
527.708,267
529.479,261
531.25,164
533.021,56
534.792,99
536.562,235
538.333,167
540.104,197
541.875,194
543.646,132
545.417,123
547.188,20
548.958,153
550.729,133
552.5,110
554.271,84
556.042,32
557.812,105
559.583,139
561.354,5
563.125,48
564.896,90
566.667,44
568.438,130
570.208,2
571.979,77
573.75,16
575.521,69
577.292,131
579.062,137
580.833,0
582.604,59
584.375,63
586.146,0
587.917,43
589.688,89
591.458,144
593.229,0
595,67
596.771,123
598.542,0
600.312,0
602.083,4
603.854,149
605.625,0
607.396,31
609.167,52
610.938,121
612.708,180
614.479,113
616.25,165
618.021,69
619.792,222
621.562,239
623.333,78
625.104,187
626.875,70
628.646,148
630.417,66
632.188,47
633.958,132
635.729,26
637.5,162
639.271,101
641.042,18
642.812,77
644.583,126
646.354,15
648.125,0
649.896,18
651.667,0
653.438,5
655.208,39
656.979,22
658.75,130
660.521,66
662.292,0
664.062,110
665.833,0
667.604,30
669.375,42
671.146,0
672.917,21
674.688,42
676.458,36
678.229,187
680,0
681.771,31
683.542,10
685.312,0
687.083,0
688.854,21
690.625,0
692.396,0
694.167,30
695.938,51
697.708,12
699.479,42
701.25,58
703.021,106
704.792,0
706.562,21
708.333,80
710.104,0
711.875,27
713.646,99
715.417,0
717.188,23
718.958,76
720.729,17
722.5,82
724.271,0
726.042,0
727.812,9
729.583,0
731.354,0
733.125,100
734.896,95
736.667,0
738.438,59
740.208,15
741.979,0
743.75,0
745.521,0
747.292,0
749.062,10
750.833,0
752.604,51
754.375,118
756.146,0
757.917,141
759.688,0
761.458,65
763.229,0
765,8
766.771,83
768.542,0
770.312,0
772.083,0
773.854,98
775.625,85
777.396,0
779.167,10
780.938,99
782.708,32
784.479,80
786.25,0
788.021,19
789.792,0
791.562,0
793.333,0
795.104,14
796.875,169
798.646,23
800.417,42
802.188,0
803.958,63
805.729,48
807.5,74
809.271,35
811.042,42
812.812,52
814.583,0
816.354,0
818.125,56
819.896,0
821.667,128
823.438,112
825.208,0
826.979,68
828.75,0
830.521,117
832.292,135
834.062,13
835.833,39
837.604,0
839.375,18
841.146,0
842.917,71
844.688,0
846.458,0
848.229,0
