x,y
900.989,23605
904.913,26006
908.832,28098
914.051,32310
917.96,35381
921.865,39044
925.765,43745
929.661,48565
933.553,54119
937.44,59420
941.322,65479
945.2,70012
949.074,74768
954.232,80764
958.095,84989
961.954,88900
965.809,92371
969.659,95486
973.505,98338
977.346,100959
981.182,102317
985.015,103212
990.118,102550
993.94,102096
997.757,101747
1001.57,101616
1005.38,101330
1009.18,101595
1012.98,101045
1016.78,101031
1020.57,101333
1024.36,101609
1029.4,101519
1033.17,102082
1036.95,102673
1040.71,103039
1044.48,102712
1048.23,103391
1051.99,103714
1055.74,103952
1059.48,104238
1063.22,104414
1068.2,104609
1071.93,104640
1075.66,104797
1079.38,104997
1083.1,105551
1086.81,105569
1090.52,105273
1094.22,105107
1097.92,105388
1102.85,105122
1106.54,105020
1110.22,105325
1113.9,104575
1117.58,105135
1121.25,104784
1124.92,105397
1128.58,105498
1132.24,106399
1135.89,106399
1140.76,107656
1144.4,107841
1148.04,109043
1151.67,109520
1155.3,110667
1158.93,111651
1162.55,113012
1166.16,114269
1169.78,115539
1173.38,117187
1178.19,119375
1181.79,121141
1185.38,122798
1188.97,124794
1192.55,126854
1196.13,128582
1199.71,130634
1203.28,132899
1206.84,134686
1211.59,137299
1215.15,139094
1218.7,141125
1222.25,142456
1225.79,144447
1229.33,146272
1232.86,147890
1236.39,149963
1239.92,150631
1243.44,152084
1248.12,153755
1251.63,154344
1255.14,154723
1258.64,156335
1262.14,157409
1265.63,159290
1269.12,160403
1272.6,162227
1276.08,162712
1279.56,164026
1284.18,165116
1287.65,165506
1291.11,166213
1294.56,166678
1298.01,167286
1301.46,167163
1304.9,168098
1308.34,167895
1311.77,168785
1316.34,168296
1319.77,168328
1323.19,167971
1326.6,167628
1330.01,167554
1333.42,166996
1336.82,166631
1340.21,166413
1343.61,165701
1346.99,164493
1351.5,163680
1354.88,161644
1358.25,160910
1361.62,159795
1364.99,158862
1368.34,158054
1371.7,158039
1375.05,156164
1378.4,153282
1381.74,150193
1386.19,146828
1389.52,144883
1392.85,142896
1396.17,141977
1399.49,141057
1402.8,140845
1406.11,140507
1409.41,140340
1412.72,140693
1417.11,140576
1420.4,140963
1423.68,141241
1426.97,141769
1430.24,141832
1433.52,142113
1436.78,141897
1440.05,142372
1443.31,141819
1446.56,141445
1450.89,140839
1454.14,140430
1457.38,140220
1460.61,139873
1463.84,138688
1467.07,138057
1470.29,137073
1473.51,136218
1476.72,134878
1479.93,134574
1484.2,132837
1487.4,131911
1490.6,130663
1493.79,129991
1496.97,128698
1500.15,127405
1503.33,125725
1506.5,124645
1509.67,123279
1513.88,121884
1517.04,120231
1520.19,119136
1523.34,117640
1526.49,117020
1529.63,114910
1532.76,114111
1535.89,112284
1539.02,111687
1542.14,109792
1546.29,107702
1549.41,106206
1552.51,105124
1555.61,103595
1558.71,101832
1561.81,100103
1564.9,98305
1567.98,96316
1571.06,94775
1574.14,93138
1578.23,91171
1581.3,89302
1584.36,87603
1587.41,86601
1590.47,85020
1593.51,82861
1596.56,81388
1599.6,79301
1602.63,78130
1606.67,75296
1609.69,74064
1612.71,72169
1615.73,70446
1618.74,68882
1621.75,66972
1624.75,65326
1627.75,63843
1630.74,61457
1633.73,60123
1637.71,57915
1640.68,56066
1643.66,54612
1646.63,52593
1649.59,51233
1652.55,49306
1655.51,47194
1658.46,45492
1661.41,44109
1664.35,42492
1668.27,39867
1671.2,37912
1674.13,36254
1677.05,34027
1679.97,30859
1682.89,27901
1685.8,25109
1688.7,21673
1691.61,18802
1694.5,16183
1698.36,13266
1701.25,11506
