x,y
340,0
341.771,0
343.542,0
345.312,141
347.083,3
348.854,0
350.625,124
352.396,1
354.167,91
355.938,0
357.708,4
359.479,83
361.25,104
363.021,22
364.792,112
366.562,39
368.333,60
370.104,0
371.875,10
373.646,65
375.417,16
377.188,38
378.958,58
380.729,0
382.5,54
384.271,0
386.042,76
387.812,68
389.583,0
391.354,31
393.125,34
394.896,1
396.667,127
398.438,107
400.208,83
401.979,24
403.75,79
405.521,43
407.292,29
409.062,0
410.833,28
412.604,16
414.375,104
416.146,0
417.917,100
419.688,30
421.458,19
423.229,93
425,230
426.771,252
428.542,414
430.312,544
432.083,800
433.854,1163
435.625,1619
437.396,2485
439.167,3800
440.938,5282
442.708,6990
444.479,7887
446.25,8423
448.021,8080
449.792,7799
451.562,7638
453.333,7859
455.104,7967
456.875,8076
458.646,7768
460.417,7552
462.188,7544
463.958,7657
465.729,7759
467.5,7930
469.271,8159
471.042,8102
472.812,8349
474.583,8351
476.354,8381
478.125,8426
479.896,8429
481.667,8260
483.438,7982
485.208,8191
486.979,8337
488.75,8575
490.521,8862
492.292,9514
494.062,9821
495.833,10196
497.604,10620
499.375,11015
501.146,11403
502.917,11579
504.688,11902
506.458,11968
508.229,12354
510,12658
511.771,12809
513.542,12842
515.312,13020
517.083,13245
518.854,13212
520.625,12986
522.396,13007
524.167,12953
525.938,12915
527.708,12510
529.479,12832
531.25,12522
533.021,12643
534.792,12594
536.562,12834
538.333,12632
540.104,12659
541.875,12721
543.646,12791
545.417,12754
547.188,12927
548.958,12516
550.729,12584
552.5,12561
554.271,12963
556.042,12711
557.812,12560
559.583,12656
561.354,12335
563.125,12489
564.896,12469
566.667,12318
568.438,12218
570.208,12076
571.979,12048
573.75,11791
575.521,11482
577.292,11362
579.062,11090
580.833,10784
582.604,10544
584.375,10454
586.146,9884
587.917,9831
589.688,9461
591.458,9267
593.229,9015
595,8990
596.771,8464
598.542,8038
600.312,7502
602.083,7324
603.854,7198
605.625,7124
607.396,6750
609.167,6410
610.938,6356
612.708,6104
614.479,5788
616.25,5393
618.021,5095
619.792,4765
621.562,4726
623.333,4627
625.104,4195
626.875,4201
628.646,3889
630.417,3761
632.188,3484
633.958,3432
635.729,3146
637.5,3020
639.271,2915
641.042,2705
642.812,2611
644.583,2498
646.354,2332
648.125,2230
649.896,2241
651.667,1956
653.438,2018
655.208,1968
656.979,1674
658.75,1572
660.521,1510
662.292,1512
664.062,1387
665.833,1361
667.604,1241
669.375,1148
671.146,1152
672.917,1123
674.688,1037
676.458,973
678.229,871
680,929
681.771,747
683.542,699
685.312,727
687.083,680
688.854,652
690.625,544
692.396,441
694.167,525
695.938,538
697.708,466
699.479,503
701.25,486
703.021,488
704.792,408
706.562,349
708.333,303
710.104,301
711.875,260
713.646,218
715.417,252
717.188,353
718.958,382
720.729,281
722.5,237
724.271,192
726.042,131
727.812,135
729.583,190
731.354,213
733.125,149
734.896,177
736.667,24
738.438,197
740.208,141
741.979,86
743.75,133
745.521,178
747.292,13
749.062,94
750.833,0
752.604,172
754.375,86
756.146,131
757.917,81
759.688,66
761.458,115
763.229,40
765,65
766.771,89
768.542,0
770.312,21
772.083,82
773.854,85
775.625,64
777.396,102
779.167,142
780.938,13
782.708,17
784.479,52
786.25,53
788.021,30
789.792,83
791.562,31
793.333,0
795.104,98
796.875,97
798.646,46
800.417,147
802.188,86
803.958,75
805.729,84
807.5,104
809.271,13
811.042,114
812.812,81
814.583,0
816.354,0
818.125,0
819.896,116
821.667,33
823.438,62
825.208,0
826.979,0
828.75,0
830.521,85
832.292,67
834.062,52
835.833,61
837.604,109
839.375,86
841.146,66
842.917,53
844.688,79
846.458,0
848.229,101
