x,y
340,0
341.771,57
343.542,0
345.312,63
347.083,0
348.854,11
350.625,0
352.396,0
354.167,41
355.938,0
357.708,0
359.479,0
361.25,0
363.021,58
364.792,1
366.562,0
368.333,0
370.104,124
371.875,15
373.646,39
375.417,0
377.188,32
378.958,54
380.729,23
382.5,0
384.271,152
386.042,22
387.812,118
389.583,194
391.354,0
393.125,18
394.896,78
396.667,131
398.438,172
400.208,560
401.979,738
403.75,1025
405.521,1137
407.292,1220
409.062,1368
410.833,1474
412.604,1664
414.375,1743
416.146,2035
417.917,2373
419.688,2769
421.458,3043
423.229,3298
425,3485
426.771,3775
428.542,4096
430.312,4194
432.083,4631
433.854,5033
435.625,5487
437.396,5777
439.167,6236
440.938,6640
442.708,6919
444.479,7168
446.25,7802
448.021,8416
449.792,9040
451.562,9749
453.333,10247
455.104,11033
456.875,11242
458.646,11289
460.417,11171
462.188,11612
463.958,10921
465.729,10395
467.5,9983
469.271,9588
471.042,8914
472.812,8383
474.583,7971
476.354,7513
478.125,7031
479.896,6565
481.667,6294
483.438,5668
485.208,5512
486.979,5346
488.75,5143
490.521,5123
492.292,4983
494.062,4937
495.833,4800
497.604,4880
499.375,4820
501.146,4655
502.917,4528
504.688,4331
506.458,4383
508.229,4276
510,4197
511.771,3909
513.542,3738
515.312,3662
517.083,3392
518.854,3324
520.625,3139
522.396,3067
524.167,2940
525.938,2764
527.708,2530
529.479,2541
531.25,2324
533.021,2267
534.792,2244
536.562,2117
538.333,1947
540.104,1842
541.875,1789
543.646,1685
545.417,1693
547.188,1486
548.958,1529
550.729,1472
552.5,1344
554.271,1270
556.042,1171
557.812,1112
559.583,1074
561.354,969
563.125,1124
564.896,963
566.667,930
568.438,827
570.208,912
571.979,765
573.75,757
575.521,786
577.292,767
579.062,703
580.833,543
582.604,576
584.375,523
586.146,582
587.917,631
589.688,739
591.458,606
593.229,544
595,658
596.771,707
598.542,823
600.312,805
602.083,929
603.854,1081
605.625,1037
607.396,1171
609.167,1096
610.938,1347
612.708,1239
614.479,1307
616.25,1207
618.021,1089
619.792,1160
621.562,1063
623.333,969
625.104,873
626.875,822
628.646,755
630.417,744
632.188,589
633.958,576
635.729,459
637.5,471
639.271,502
641.042,338
642.812,374
644.583,416
646.354,298
648.125,316
649.896,223
651.667,400
653.438,284
655.208,384
656.979,384
658.75,178
660.521,209
662.292,210
664.062,167
665.833,141
667.604,183
669.375,208
671.146,226
672.917,283
674.688,125
676.458,123
678.229,285
680,45
681.771,88
683.542,154
685.312,112
687.083,107
688.854,75
690.625,55
692.396,182
694.167,164
695.938,46
697.708,0
699.479,30
701.25,60
703.021,23
704.792,73
706.562,0
708.333,37
710.104,64
711.875,0
713.646,27
715.417,106
717.188,122
718.958,18
720.729,71
722.5,0
724.271,0
726.042,50
727.812,0
729.583,46
731.354,58
733.125,0
734.896,0
736.667,23
738.438,0
740.208,43
741.979,0
743.75,11
745.521,0
747.292,44
749.062,83
750.833,59
752.604,32
754.375,0
756.146,117
757.917,0
759.688,52
761.458,12
763.229,0
765,0
766.771,44
768.542,0
770.312,0
772.083,0
773.854,0
775.625,0
777.396,62
779.167,66
780.938,65
782.708,70
784.479,0
786.25,0
788.021,25
789.792,0
791.562,0
793.333,0
795.104,27
796.875,52
798.646,31
800.417,0
802.188,0
803.958,0
805.729,0
807.5,20
809.271,0
811.042,0
812.812,0
814.583,0
816.354,48
818.125,0
819.896,0
821.667,11
823.438,0
825.208,0
826.979,0
828.75,28
830.521,38
832.292,0
834.062,0
835.833,84
837.604,49
839.375,0
841.146,0
842.917,71
844.688,0
846.458,7
848.229,0
