x,y
900.989,11289
904.913,12424
908.832,13560
914.051,14951
917.96,16049
921.865,17452
925.765,19591
929.661,22221
933.553,25923
937.44,28871
941.322,32076
945.2,35009
949.074,37871
954.232,41376
958.095,44183
961.954,46483
965.809,48595
969.659,50734
973.505,52441
977.346,53638
981.182,54314
985.015,54961
990.118,54431
993.94,54835
997.757,54013
1001.57,53751
1005.38,54030
1009.18,52800
1012.98,52726
1016.78,52698
1020.57,52111
1024.36,52105
1029.4,52154
1033.17,52261
1036.95,52395
1040.71,52397
1044.48,52438
1048.23,52975
1051.99,53368
1055.74,54162
1059.48,54440
1063.22,55117
1068.2,54865
1071.93,55176
1075.66,55213
1079.38,55854
1083.1,55527
1086.81,55791
1090.52,56036
1094.22,56267
1097.92,56339
1102.85,55857
1106.54,55836
1110.22,55580
1113.9,55408
1117.58,54821
1121.25,54304
1124.92,53844
1128.58,52933
1132.24,52123
1135.89,50533
1140.76,47688
1144.4,45424
1148.04,42281
1151.67,38765
1155.3,35203
1158.93,32152
1162.55,29813
1166.16,29010
1169.78,28157
1173.38,28768
1178.19,27587
1181.79,24969
1185.38,22532
1188.97,20526
1192.55,18776
1196.13,17116
1199.71,16243
1203.28,15222
1206.84,14858
1211.59,16077
1215.15,19002
1218.7,23708
1222.25,29809
1225.79,35710
1229.33,42071
1232.86,47859
1236.39,52533
1239.92,56206
1243.44,59573
1248.12,63948
1251.63,65972
1255.14,68219
1258.64,70690
1262.14,72345
1265.63,74191
1269.12,75684
1272.6,77239
1276.08,78220
1279.56,79412
1284.18,80801
1287.65,81396
1291.11,81576
1294.56,82453
1298.01,82375
1301.46,82997
1304.9,83699
1308.34,84363
1311.77,84189
1316.34,84274
1319.77,84110
1323.19,84220
1326.6,83938
1330.01,83057
1333.42,82716
1336.82,82045
1340.21,81404
1343.61,79951
1346.99,77526
1351.5,73683
1354.88,69999
1358.25,66332
1361.62,62503
1364.99,58999
1368.34,55165
1371.7,49812
1375.05,45118
1378.4,39582
1381.74,34691
1386.19,29474
1389.52,27255
1392.85,27457
1396.17,28059
1399.49,28444
1402.8,27588
1406.11,26372
1409.41,25475
1412.72,25289
1417.11,26071
1420.4,27300
1423.68,28351
1426.97,29059
1430.24,29821
1433.52,30830
1436.78,32778
1440.05,34474
1443.31,35815
1446.56,38053
1450.89,40277
1454.14,41560
1457.38,43211
1460.61,44238
1463.84,45519
1467.07,46300
1470.29,47642
1473.51,48501
1476.72,49031
1479.93,50423
1484.2,51005
1487.4,51766
1490.6,52171
1493.79,52179
1496.97,52715
1500.15,52460
1503.33,52908
1506.5,52103
1509.67,52294
1513.88,51243
1517.04,51033
1520.19,50930
1523.34,50016
1526.49,49529
1529.63,48889
1532.76,48188
1535.89,48544
1539.02,47759
1542.14,48083
1546.29,47663
1549.41,47111
1552.51,46927
1555.61,45871
1558.71,45014
1561.81,44286
1564.9,43090
1567.98,42249
1571.06,41527
1574.14,40715
1578.23,40695
1581.3,39803
1584.36,39364
1587.41,38667
1590.47,37310
1593.51,36957
1596.56,35697
1599.6,34857
1602.63,33960
1606.67,32140
1609.69,30216
1612.71,30375
1615.73,29278
1618.74,28112
1621.75,27130
1624.75,26147
1627.75,24575
1630.74,23224
1633.73,22327
1637.71,20815
1640.68,19607
1643.66,18107
1646.63,16695
1649.59,14674
1652.55,13278
1655.51,12015
1658.46,9909
1661.41,8607
1664.35,7327
1668.27,6489
1671.2,5886
1674.13,4886
1677.05,4274
1679.97,2988
1682.89,1941
1685.8,1284
1688.7,972
1691.61,355
1694.5,552
1698.36,254
1701.25,472
