x,y
340,0
341.771,14
343.542,1
345.312,83
347.083,31
348.854,124
350.625,99
352.396,0
354.167,109
355.938,1
357.708,26
359.479,128
361.25,31
363.021,11
364.792,0
366.562,6
368.333,57
370.104,90
371.875,0
373.646,102
375.417,193
377.188,53
378.958,124
380.729,38
382.5,197
384.271,10
386.042,84
387.812,80
389.583,129
391.354,0
393.125,72
394.896,39
396.667,88
398.438,0
400.208,81
401.979,92
403.75,54
405.521,16
407.292,0
409.062,68
410.833,7
412.604,0
414.375,155
416.146,14
417.917,64
419.688,9
421.458,49
423.229,82
425,32
426.771,163
428.542,157
430.312,98
432.083,263
433.854,369
435.625,379
437.396,655
439.167,1034
440.938,1352
442.708,1661
444.479,1825
446.25,1800
448.021,1915
449.792,1612
451.562,1752
453.333,1807
455.104,1702
456.875,1845
458.646,1905
460.417,1704
462.188,1642
463.958,1573
465.729,1696
467.5,1810
469.271,1883
471.042,2010
472.812,2160
474.583,2352
476.354,2518
478.125,2952
479.896,3643
481.667,3536
483.438,4183
485.208,4558
486.979,5183
488.75,6270
490.521,6933
492.292,8050
494.062,8940
495.833,9919
497.604,10657
499.375,11014
501.146,11606
502.917,11621
504.688,11659
506.458,11957
508.229,12117
510,12845
511.771,13300
513.542,14099
515.312,14366
517.083,15032
518.854,15182
520.625,15529
522.396,15113
524.167,15004
525.938,15072
527.708,15102
529.479,15224
531.25,15089
533.021,15380
534.792,15719
536.562,15814
538.333,15788
540.104,16168
541.875,16137
543.646,16495
545.417,16138
547.188,16443
548.958,16332
550.729,15740
552.5,15636
554.271,15520
556.042,14946
557.812,14865
559.583,14451
561.354,14018
563.125,13985
564.896,13544
566.667,13654
568.438,13341
570.208,13478
571.979,13432
573.75,13126
575.521,13129
577.292,13126
579.062,12831
580.833,12523
582.604,12458
584.375,12052
586.146,11945
587.917,11494
589.688,11098
591.458,10672
593.229,10049
595,9522
596.771,8956
598.542,8273
600.312,7541
602.083,7086
603.854,6722
605.625,5817
607.396,5125
609.167,4643
610.938,3950
612.708,3441
614.479,3067
616.25,2883
618.021,2646
619.792,2720
621.562,2956
623.333,3235
625.104,3525
626.875,3748
628.646,4009
630.417,4123
632.188,4226
633.958,4187
635.729,4207
637.5,3885
639.271,3689
641.042,3765
642.812,3616
644.583,3450
646.354,3250
648.125,3264
649.896,2946
651.667,2849
653.438,2678
655.208,2675
656.979,2449
658.75,2387
660.521,2362
662.292,2227
664.062,2168
665.833,2198
667.604,1871
669.375,1765
671.146,1689
672.917,1608
674.688,1549
676.458,1487
678.229,1426
680,1340
681.771,1292
683.542,1170
685.312,1074
687.083,1197
688.854,914
690.625,1002
692.396,902
694.167,811
695.938,782
697.708,783
699.479,777
701.25,762
703.021,701
704.792,463
706.562,545
708.333,560
710.104,458
711.875,443
713.646,310
715.417,471
717.188,392
718.958,478
720.729,383
722.5,337
724.271,226
726.042,331
727.812,174
729.583,223
731.354,268
733.125,240
734.896,257
736.667,132
738.438,227
740.208,185
741.979,184
743.75,102
745.521,238
747.292,34
749.062,227
750.833,92
752.604,207
754.375,136
756.146,197
757.917,102
759.688,99
761.458,138
763.229,68
765,141
766.771,40
768.542,99
770.312,113
772.083,110
773.854,99
775.625,101
777.396,25
779.167,48
780.938,159
782.708,148
784.479,114
786.25,125
788.021,86
789.792,81
791.562,70
793.333,113
795.104,64
796.875,198
798.646,120
800.417,222
802.188,174
803.958,95
805.729,77
807.5,112
809.271,0
811.042,31
812.812,96
814.583,37
816.354,131
818.125,3
819.896,74
821.667,0
823.438,81
825.208,68
826.979,79
828.75,124
830.521,76
832.292,59
834.062,107
835.833,112
837.604,21
839.375,11
841.146,70
842.917,7
844.688,133
846.458,99
848.229,31
